scenario,strategy,run_id,period,orders_submitted,failed_attempts,fills,partial_fills,openings,completed_openings,renewals,rebalances,corrections,close_requests,margin_close_requests,liquidation_fills,blocked_orders,turnover_usdt
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2025,68,0,68,0,1,1,104,32,0,1,1,0,0,32374.8395308
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2026,4,0,4,0,0,0,69,2,0,0,0,0,0,86.709570
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,full,727,407,324,4,20,17,458,125,0,20,7,0,0,299922.1279657
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2022-2023,444,319,128,3,9,8,189,47,0,9,0,0,0,117839.1813830
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2024+,283,88,196,1,11,9,269,78,0,11,7,0,0,182082.9465827
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2022,58,8,50,0,4,4,92,19,0,2,0,0,0,43340.9267411
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2023,386,311,78,3,5,4,97,28,0,7,0,0,0,74498.2546419
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2024,211,88,124,1,10,8,96,44,0,10,6,0,0,149621.3974819
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2025,68,0,68,0,1,1,104,32,0,1,1,0,0,32374.8395308
FUT4_DECISION,permanent,run_9a4b6b4c853215594e14bd86,2026,4,0,4,0,0,0,69,2,0,0,0,0,0,86.709570
