scenario,strategy,run_id,period,start_utc,end_exclusive_utc,days,coverage_complete,starting_equity_usdt,final_equity_usdt,net_pnl_usdt,net_return,cagr,cagr_reason,sharpe,sharpe_reason,annual_volatility,max_drawdown,max_drawdown_days,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,reconciliation_residual_usdt,capital_deployed_usdt_daily_mean,capital_deployed_usdt_daily_max,capital_utilization_daily_mean,capital_utilization_daily_max,gross_exposure_usdt_daily_mean,gross_exposure_usdt_daily_max,collateral_usdt_daily_mean,collateral_usdt_daily_max,debt_usdt_daily_mean,debt_usdt_daily_max,orders_submitted,failed_attempts,fills,partial_fills,openings,completed_openings,renewals,rebalances,corrections,close_requests,margin_close_requests,liquidation_fills,blocked_orders,turnover_usdt,invested_seconds,unhedged_seconds,covered_seconds,both_covered_seconds,cash_seconds,calendar_seconds,invested_fraction,maintenance_daily_mean_usdt,maintenance_daily_max_usdt,maintenance_ratio_daily_max,maintenance_reason
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2024+,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,974,True,10616.65659629191340324689999,11680.06921675742584680269999,1063.41262046551244355580000,0.100164549057462333799662922,0.036420456461579806,,9.61345768430874,,0.003722030129488539,-0.0032319829498531952700925646,154,3274.777655243000000000000001,-3268.947099595200000000000005,1198.4061542547124435558,-140.8240894370,0,18.52702748629513549178231223,6555.405324015962033337633062,-3280.627668772962033337633063,-6557.694963549328945562638674,3288.747863954128945562638672,4E-24,9466.239567491302820638107259,11390.839988444023937470733887,0.8358782482034263270455471233,1.0177669999873091995643640908771225014728336087947,11925.7081708461400000,16160.9364332599800000,3502.315275115786598872193510,3891.962269777540849980786611,0E-27,0E-27,291,88,204,1,11,9,269,82,0,11,7,0,0,183407.3377220,84153600.000,1153620.000,83850960.000,82999980.000,0.000,84153600,1.000,31.24115977476871397843942505,42.342212756160920,0.03723135744870568335597465779,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2022,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,365,True,10000,10109.16010799879654121879999,109.16010799879654121879999,0.010916010799879654121879999,0.010916010799879581,,2.621727629634954,,0.004144439023570272,-0.0048274899052302995404322594,134,-5125.475462147300000000000000,5140.682656913919999999999994,126.4592783482765412188,-32.5063651161,0,4.399865825163145476335029766,-2948.166576887808793426089200,-2177.308885259491206573910800,2960.959670804798415092532739,2179.722986109121584907467255,-4E-24,7901.454560052339842433173353,10122.979501884190769230769231,0.7847273231430302157278440603,1.0006386526421492934761385268006355598143915301969,9725.028796790359917808219178,13673.7126008375000000,3037.768785721968061611255592,3366.680671036065283062545869,0E-26,0,58,8,50,0,4,4,92,19,0,2,0,0,0,43331.1396411,31276680.000,4892700.000,30992760.000,26268780.000,259320.000,31536000,0.9917770167427701674277016743,24.71940405761360802739726027,36.185996300000000,0.03047854265085599301109004744,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2023,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,365,True,10109.16010799879654121879999,10616.65659629191340324689999,507.49648829311686202810000,0.050201647107316472392460203,0.05020164710731656,,6.076624589697891,,0.008066616424921725,-0.0012932908748024887588424147,13,4279.603221445300000000000000,-4187.782540058660000000000003,471.5533316333768620281,-55.8775247269,0,7.582536083039285703800074476,1434.877254954276235854558513,2844.725966491023764145441487,-1338.419262525528938031639922,-2849.363277533131061968360081,3E-24,8724.057368607578651653610164,10325.585232950605923070408999,0.8423538367750753403053683085,0.99740106069112341446869446178136448634063721593872,11326.27926117771427397260274,14412.7950375129400000,3060.201398029855911927582855,3474.605786891336637931034483,0E-27,0E-26,386,311,78,3,5,4,97,28,0,7,0,0,0,74460.6442819,31536000.000,2142360.000,29735520.000,29393640.000,0.000,31536000,1.000,29.52464177101801079452054795,37.806949270688930,0.02321114660180658387392576360,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2024,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,366,True,10616.65659629191340324689999,11303.46093070800705768259998,686.80433441609365443569999,0.064691207461299469152154614,0.06450887343878318,,11.759986344788732,,0.005317437477190622,-0.0032319829498531952700925646,24,4716.091439372100000000000002,-4712.478821538800000000000006,801.2670105818936544357,-118.0752939991,0,15.45784938578697514592778982,5472.963557513679487535240495,-756.872118141579487535240495,-5477.485000804898554414108113,765.0061792660985544141081098,-6E-24,9684.176337169604510422204087,11309.777026270980000000000000,0.8787678927935624683748431374,1.0177669999873091995643640908771225014728336087947,12905.45570077075877049180328,16160.9364332599800000,3231.055046709230739930400833,3715.831332551855975632613465,0E-27,0E-27,223,88,136,1,10,8,96,50,0,10,6,0,0,153077.5825191,31622400.000,725460.000,31319760.000,30896940.000,0.000,31622400,1.000,33.82231495522260318306010929,42.342212756160920,0.03723135744870568335597465779,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2025,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,365,True,11303.46093070800705768259998,11611.60475679548087713249999,308.14382608747381944990001,0.027261015716906877292381074,0.027261015716906867,,13.661006498214906,,0.001969033270112986,-0.0004490367767424253388056552,16,-628.695897064100000000000001,630.6581916112200000000000026,328.8662047082538194499,-22.6846731679,0,3.06040663677262814799209572,1082.441766502282545802392567,-1711.137663566382545802392568,-1080.209962744430391148530561,1710.868154355650391148530562,8.4E-24,9912.430042632592520388105512,11390.839988444023937470733887,0.8648219981002252999471381745,0.99391483456187015264222189243983133351783921371061,12766.75032436752252054794521,15650.2772024506800000,3527.409164852754164223721948,3870.571309777540849980786611,0E-27,0E-27,64,0,64,0,1,1,104,30,0,1,1,0,0,30244.2493529,31536000.000,428040.000,31536000.000,31107960.000,0.000,31536000,1.000,33.42436105131617453424657534,41.436099096050020,0.03398890780845253292235862348,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2026,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,243,True,11611.60475679548087713249999,11680.06921675742584680269999,68.46445996194496967020000,0.005896209989569046211164390,0.008869542894801494,,6.352469083047746,,0.0013902482067493231,-0.0019677066173966492165556479,154,-812.617887065000000000000000,812.8735303323800000000000001,68.2729389645649696702,-0.0641222700,0,0.00877146373553219786242669,0E-24,-812.617887065000000000000000,0E-24,812.8735303323800000000000001,-1E-25,8467.785324162787763561033728,10505.633676412540849980786611,0.7278038505395520355410077206,0.90352985269945037460548877948469492887176450397710,9186.745282007806296296296296,13266.3571907799600000,3873.187595456553195659798947,3891.962269777540849980786611,0E-27,0E-27,4,0,4,0,0,0,69,2,0,0,0,0,0,85.505850,20995200.000,120.000,20995200.000,20995080.000,0.000,20995200,1.000,24.07419984890062117283950617,35.351978121579840,0.007389532942296904727967024347,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,full,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,1704,True,10000,10785.76304964716593690000000,785.76304964716593690000000,0.07857630496471659369000,0.016334619265710986,,4.9623712776540545,,0.0032662470755764556,-0.0020616558706701528492637308,493,2211.193604481400000000000000,-2161.487990000000000000000000,850.9550632121659369000,-114.8976280464,0,15.34780638071242939671804124,2211.210988979846943548434474,-0.017384498446943548434474,-2161.487989999999999999999999,-1.023E-24,0E-24,2074.621944697141096005307256,10811.783139323008315565031983,0.1980684995507296294809487908,1.0274044222483662865705574630022333774275912665613,2737.391763002225211267605634,14684.3520215261000000,705.7249109386284786344152218,3544.742637206845047924596894,0E-27,0,258,123,138,3,10,9,100,49,0,98,5,0,0,151394.8450414,114537420.000,85644240.000,41682240.000,22773720.000,32688180.000,147225600,0.7779721733176838810641627543,7.628296337430747250586854460,39.136299750000000,0.03531794991078364508968137174,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022-2023,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,730,True,10000,10217.44071106276812412970000,217.44071106276812412970000,0.02174407110627681241297,0.010813568916779457,,3.3374368352976136,,0.0032242892635432276,-0.001223820050450,206,1285.579227767000000000000000,-1241.311098371979999999999999,200.8804361967481241297,-27.7078545290,0,3.590470572963450080154911384,620.6437845934466274456304127,664.935443173553372554369587,-580.8928499999999999999999989,-660.4182483719799999999999998,-1E-24,1051.040075854035127333250440,9667.791514294600000000000000,0.1042204491765538707102810628,0.95489695136064988465951677277067404821792009153841,1427.100965892637917808219178,13476.0297036588600000,337.5202026836221136346203025,3023.078550207000000000000000,0E-26,0,150,121,30,1,4,3,23,10,0,2,0,0,0,35149.6756140,30383820.000,20002440.000,10381680.000,4261920.000,32688180.000,63072000,0.4817323059360730593607305936,4.113869596876340335616438356,35.425191432213190,0.02321153030002510659919636475,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024+,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,974,True,10217.44071106276812412970000,10785.76304964716593690000000,568.32233858439781277030000,0.055622768426642889470764155,0.020492334276123285,,6.181079222662197,,0.0032827820497003694,-0.0020616558706701528492637308,493,925.614376714400000000000000,-920.1768916280200000000000013,650.0746270154178127703,-87.1897735174,0,11.75733580774897931656312986,1590.567204386400316102804061,-664.952827672000316102804061,-1580.595140000000000000000000,660.4182483719800000000000000,1.3E-24,2841.782893624725651580873451,10811.783139323008315565031983,0.2684063607141262453973630015,1.0274044222483662865705574630022333774275912665613,3719.437226954995975359342916,14684.3520215261000000,981.6894253391979308416537153,3544.742637206845047924596894,0E-27,0E-26,108,2,108,2,6,6,77,39,0,96,5,0,0,116245.1694274,84153600.000,65641800.000,31300560.000,18511800.000,0.000,84153600,1.000,10.26231227234318775154004107,39.136299750000000,0.03531794991078364508968137174,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,365,True,10000,10000,0,0,0.0,,,zero sample volatility,0.0,0,0,0,0E-8,0,0,0,0,0,0,0,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31536000,31536000,0,0,0,,no defined active daily margin ratio
