scenario,strategy,run_id,time_ns,date,equity_usdt,starting_equity_usdt,net_pnl_usdt,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,reconciliation_residual_usdt,daily_return,capital_deployed_usdt,capital_utilization,gross_exposure_usdt,collateral_usdt,free_cash_usdt,debt_usdt,balance_residual_usdt,partial_day,maintenance_usdt,maintenance_to_balance_max,active_margin_positions,margin_reason
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785110399999999999,2026-07-26,11653.43330980430420745729999,11653.69786055275185870139999,-0.26455074844765124410000,118.454828827500000000000000,-119.090616251720000000000000000,0.3712366757723487559,0E-10,0,0E-26,0E-24,118.454828827500000000000000,0E-24,-119.090616251720000000000000000,0E-27,-0.00002270101315593085205348324410800832735648307064,8068.702403150539751586426695,0.69238843082940655317527052769040370690832196742141,8386.9153488725400000,3874.666549570039751586426695,3.404207165941065800500000000,0E-27,-2.520E-24,False,22.024156835340660,0.003152347989541043406757887537,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785196799999999999,2026-07-27,11654.71462653940314160609999,11653.43330980430420745729999,1.28131673509893414880000,-119.074362689000000000000000,119.572845689430000000000000000,0.7828337346689341488,0E-10,0,0E-26,0E-24,-119.074362689000000000000000,0E-24,119.572845689430000000000000000,0E-27,0.0001099518657751216209014724260823280552847466324,7949.628040461539751586426695,0.68209546910390522269631192130644474486975537658554,8148.2681404941100000,3874.666549570039751586426695,4.187040900609999949300000000,0E-27,-2.520E-24,False,21.376858139358565,0.003014997999124471592457376135,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785283199999999999,2026-07-28,11655.31890033366896646889999,11654.71462653940314160609999,0.60427379426582486280000,38.110771973500000000000000,-37.745321078170000000000000000,0.2388228989358248628,0E-10,0,0E-26,0E-24,38.110771973500000000000000,0E-24,-37.745321078170000000000000000,0E-27,0.0000518480128968417250165461052145989381612352067,7987.738812435039751586426695,0.68532992368028355056521159397326412165440938026335,8224.1242335457800000,3874.666549570039751586426695,4.425863799545824812100000000,0E-27,-2.520E-24,False,21.607643695221870,0.003030126069110004657232626800,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785369599999999999,2026-07-29,11655.73041992778170507889999,11655.31890033366896646889999,0.41151959411273861000000,-11.507770306500000000000000,11.129170680780000000000000000,0.7901192198327386100,0E-10,0,0E-26,0E-24,-11.507770306500000000000000,0E-24,11.129170680780000000000000000,0E-27,0.0000353074504122712257587637111537361087070245808,7976.231042128539751586426695,0.68431842147718101232205809479462100148646159606700,8201.4872925585000000,3874.666549570039751586426695,5.215983019378563422100000000,0E-27,-2.520E-24,False,21.532386200000000,0.003033165852567776850597626282,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785455999999999999,2026-07-30,11656.86159044435551828489999,11655.73041992778170507889999,1.13117051657381320600000,34.288268061500000000000000,-33.881711478400000000000000000,0.7246139334738132060,0E-10,0,0E-26,0E-24,34.288268061500000000000000,0E-24,-33.881711478400000000000000000,0E-27,0.0000970484453415165618807532353211656373100470651,8010.519310190039751586426695,0.68719348239980959879893829994086381385781012408521,8269.6572720984000000,3874.666549570039751586426695,5.940596952852376628100000000,0E-27,-2.520E-24,False,21.689896795913600,0.003099148113334983360835746722,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785542399999999999,2026-07-31,11657.19868815724598781439999,11656.86159044435551828489999,0.33709771289046952950000,-121.629783834500000000000000,121.352011478400000000000000000,0.6148700689904695295,0E-10,0,0E-26,0E-24,-121.629783834500000000000000,0E-24,121.352011478400000000000000000,0E-27,0.0000289183937095730311125034027381378571152194856,7888.889526355539751586426695,0.67673973288025037596377447453987983610519859159174,8026.6754767855000000,3874.666549570039751586426695,6.555467021842846157600000000,0E-27,-2.520E-24,False,21.053021250000000,0.002941420202551125833884931511,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785628799999999999,2026-08-01,11657.95376620514342753689999,11657.19868815724598781439999,0.75507804789743972250000,-20.195071771000000000000000,20.434567072320000000000000000,0.5155827465774397225,0E-10,0,0E-26,0E-24,-20.195071771000000000000000,0E-24,20.434567072320000000000000000,0E-27,0.0000647735419200272228315774137371420020988348903,7868.694454584539751586426695,0.67496360102189098053849215502137771616498729253911,7986.0458379421800000,3874.666549570039751586426695,7.071049768420285880100000000,0E-27,-2.520E-24,False,20.924735481710720,0.002936815292434208845885806455,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785715199999999999,2026-08-02,11658.59813058370842753689999,11657.95376620514342753689999,0.64436437856500000000000,66.705165464500000000000000,-66.685717072320000000000000000,0.6249159863850000000,0E-10,0,0E-26,0E-24,66.705165464500000000000000,0E-24,-66.685717072320000000000000000,0E-27,0.0000552725110673304078388362174051281864874765767,7935.399620049039751586426695,0.68064783871675829621744395726719903636230279200015,8119.4367204790000000,3874.666549570039751586426695,7.695965754805285880100000000,0E-27,-2.520E-24,False,21.298037725000000,0.002998345307299897533229045285,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785801599999999999,2026-08-03,11658.99807451548781202649999,11658.59813058370842753689999,0.39994393177938448960000,-28.156291328500000000000000,27.916291666500000000000000000,0.6399435937793844896,0E-10,0,0E-26,0E-24,-28.156291328500000000000000,0E-24,27.916291666500000000000000000,0E-27,0.0000343046331385436120297484237894543103554760264,7907.243328720539751586426695,0.67820950635581441447448816894522380427533729100705,8063.3641374840000000,3874.666549570039751586426695,8.335909348584670369700000000,0E-27,-2.520E-24,False,21.120653829167750,0.002994145801326430640168090713,2,
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,1785887999999999999,2026-08-04,11660.07296070204001647549999,11658.99807451548781202649999,1.07488618655220444900000,29.341047843500000000000000,-28.975641666500000000000000000,0.7094800095522044490,0E-10,0,0E-26,0E-24,29.341047843500000000000000,0E-24,-28.975641666500000000000000000,0E-27,0.0000921937013525815700042230879060604784843131119,7936.584376564039751586426695,0.68066335462159808294146479205137567064607200126403,8121.6808269940000000,3874.666549570039751586426695,9.045389358136874818700000000,0E-27,-2.520E-24,False,21.262419500000000,0.003042483177555955119920496847,2,
