scenario,strategy,run_id,period,symbol,invested_seconds,unhedged_seconds,covered_seconds,cash_seconds,calendar_seconds,invested_fraction,both_covered_seconds
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022,ETHUSDT,0,0,0,31536000,31536000,0,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2022,PORTFOLIO,0,0,0,31536000,31536000,0,0
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2023,BTCUSDT,4262220.000,240.000,4261980.000,27273780.000,31536000,0.1351541095890410958904109589,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2023,ETHUSDT,30383820.000,20002200.000,10381620.000,1152180.000,31536000,0.9634646118721461187214611872,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2023,PORTFOLIO,30383820.000,20002440.000,10381680.000,1152180.000,31536000,0.9634646118721461187214611872,4261920.000
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024,BTCUSDT,31622400.000,11905440.000,19716960.000,0.000,31622400,1.000,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024,ETHUSDT,31622400.000,11635440.000,19986960.000,0.000,31622400,1.000,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024,PORTFOLIO,31622400.000,13110600.000,21192120.000,0.000,31622400,1.000,18511800.000
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2025,BTCUSDT,31536000.000,31536000.000,0.000,0.000,31536000,1.000,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2025,ETHUSDT,31536000.000,21427560.000,10108440.000,0.000,31536000,1.000,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2025,PORTFOLIO,31536000.000,31536000.000,10108440.000,0.000,31536000,1.000,0.000
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2026,BTCUSDT,20995200,20995200,0,0,20995200,1,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2026,ETHUSDT,20995200,20995200,0,0,20995200,1,
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2026,PORTFOLIO,20995200,20995200,0,0,20995200,1,0
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,full,BTCUSDT,96883080.000,64444560.000,32438520.000,50342520.000,147225600,0.6580586528429838288993218571,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,full,ETHUSDT,114537420.000,74060400.000,40477020.000,32688180.000,147225600,0.7779721733176838810641627543,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,full,PORTFOLIO,117158280.000,85644720.000,44418540.000,30067320.000,147225600,0.7957738328116849243609806990,28497000.000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022-2023,BTCUSDT,12729480.000,8040.000,12721440.000,50342520.000,63072000,0.2018245814307458143074581431,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022-2023,ETHUSDT,30383820.000,20002200.000,10381620.000,32688180.000,63072000,0.4817323059360730593607305936,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022-2023,PORTFOLIO,33004680.000,20002980.000,13117920.000,30067320.000,63072000,0.5232857686453576864535768645,9985140.000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024+,BTCUSDT,84153600.000,64436520.000,19717080.000,0.000,84153600,1.000,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024+,ETHUSDT,84153600.000,54058200.000,30095400.000,0.000,84153600,1.000,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024+,PORTFOLIO,84153600.000,65641740.000,31300620.000,0.000,84153600,1.000,18511860.000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022,BTCUSDT,1468680.000,120.000,1468560.000,30067320.000,31536000,0.04657153729071537290715372907,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022,ETHUSDT,0.000,0.000,0.000,31536000.000,31536000,0.000,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022,PORTFOLIO,1468680.000,120.000,1468560.000,30067320.000,31536000,0.04657153729071537290715372907,0.000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2023,BTCUSDT,11260800.000,7920.000,11252880.000,20275200.000,31536000,0.3570776255707762557077625571,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2023,ETHUSDT,30383820.000,20002200.000,10381620.000,1152180.000,31536000,0.9634646118721461187214611872,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2023,PORTFOLIO,31536000.000,20002860.000,11649360.000,0.000,31536000,1.000,9985140.000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024,BTCUSDT,31622400.000,11905320.000,19717080.000,0.000,31622400,1.000,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024,ETHUSDT,31622400.000,11635440.000,19986960.000,0.000,31622400,1.000,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2024,PORTFOLIO,31622400.000,13110540.000,21192180.000,0.000,31622400,1.000,18511860.000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2025,BTCUSDT,31536000.000,31536000.000,0.000,0.000,31536000,1.000,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2025,ETHUSDT,31536000.000,21427560.000,10108440.000,0.000,31536000,1.000,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2025,PORTFOLIO,31536000.000,31536000.000,10108440.000,0.000,31536000,1.000,0.000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2026,BTCUSDT,20995200,20995200,0,0,20995200,1,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2026,ETHUSDT,20995200,20995200,0,0,20995200,1,
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2026,PORTFOLIO,20995200,20995200,0,0,20995200,1,0
BTC_PROMO_REALIZADA,permanent,run_d3ebbfeb6f98be343782ccbb,full,BTCUSDT,146966280.000,2697480.000,144268800.000,259320.000,147225600,0.9982386215440792905581637976,
