fact_id,source_id,derived_fact_id,tier_index,floor_exclusive_usdt,cap_inclusive_usdt,published_rate,derived_deduction_usdt,maintenance_at_cap,next_formula_at_cap,continuity_checked,boundary_selection_passed
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,1,50000,600000,0.005,50.000,2950.000,2950.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,2,600000,3000000,0.0065,950.0000,18550.0000,18550.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,3,3000000,12000000,0.01,11450.0000,108550.0000,108550.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,4,12000000,50000000,0.02,131450.0000,868550.0000,868550.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,5,50000000,65000000,0.025,381450.0000,1243550.0000,1243550.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,6,65000000,150000000,0.05,2006450.0000,5493550.0000,5493550.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,7,150000000,320000000,0.1,9506450.0000,22493550.0000,22493550.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,8,320000000,400000000,0.125,17506450.0000,32493550.0000,32493550.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,9,400000000,530000000,0.15,27506450.0000,51993550.0000,51993550.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,10,530000000,800000000,0.25,80506450.0000,119493550.0000,119493550.0000,True,True
TIERS_MARG24_ETHUSDT_after,MARG24,TIERS_MARG24_ETHUSDT_after_DERIVED,11,800000000,1200000000,0.5,280506450.0000,319493550.0000,,False,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,0,0,50000,0.004,0,200.000,200.000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,1,50000,600000,0.005,50.000,2950.000,2950.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,2,600000,3000000,0.0065,950.0000,18550.0000,18550.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,3,3000000,12000000,0.01,11450.0000,108550.0000,108550.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,4,12000000,70000000,0.02,131450.0000,1268550.0000,1268550.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,5,70000000,100000000,0.025,481450.0000,2018550.0000,2018550.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,6,100000000,230000000,0.05,2981450.0000,8518550.0000,8518550.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,7,230000000,480000000,0.1,14481450.0000,33518550.0000,33518550.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,8,480000000,600000000,0.125,26481450.0000,48518550.0000,48518550.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,9,600000000,800000000,0.15,41481450.0000,78518550.0000,78518550.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,10,800000000,1200000000,0.25,121481450.0000,178518550.0000,178518550.0000,True,True
TIERS_MARGBTC25_BTCUSDT_before,MARGBTC25,TIERS_MARGBTC25_BTCUSDT_before_DERIVED,11,1200000000,1800000000,0.5,421481450.0000,478518550.0000,,False,True
