run_id,fact_id,source_id,symbol,market,parameter,observed_value,observed_at_utc,orders_population,orders_tested,candidate_orders,orders_unknown,market_applicability,note,scope
run_ad71d751b20623006c195ff3,SPOTI25_BTCUSDT_LOT_SIZE_minQty,SPOTI25,BTCUSDT,spot,LOT_SIZE.minQty,0.00001,2025-12-09T11:16:42Z,24,24,0,0,,quantity_below_minimum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_BTCUSDT_LOT_SIZE_minQty,SPOTI25,BTCUSDT,spot,LOT_SIZE.minQty,0.00001,2025-12-09T11:16:42Z,197,197,0,0,,quantity_below_minimum,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_BTCUSDT_LOT_SIZE_maxQty,SPOTI25,BTCUSDT,spot,LOT_SIZE.maxQty,9000,2025-12-09T11:16:42Z,24,24,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_BTCUSDT_LOT_SIZE_maxQty,SPOTI25,BTCUSDT,spot,LOT_SIZE.maxQty,9000,2025-12-09T11:16:42Z,197,197,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_BTCUSDT_LOT_SIZE_stepSize,SPOTI25,BTCUSDT,spot,LOT_SIZE.stepSize,0.00001,2025-12-09T11:16:42Z,24,24,0,0,,quantity_modulo_positive_step,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_BTCUSDT_LOT_SIZE_stepSize,SPOTI25,BTCUSDT,spot,LOT_SIZE.stepSize,0.00001,2025-12-09T11:16:42Z,197,197,0,0,,quantity_modulo_positive_step,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_BTCUSDT_MARKET_LOT_SIZE_minQty,SPOTI25,BTCUSDT,spot,MARKET_LOT_SIZE.minQty,0,2025-12-09T11:16:42Z,24,0,0,24,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_BTCUSDT_MARKET_LOT_SIZE_minQty,SPOTI25,BTCUSDT,spot,MARKET_LOT_SIZE.minQty,0,2025-12-09T11:16:42Z,197,0,0,197,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_BTCUSDT_MARKET_LOT_SIZE_maxQty,SPOTI25,BTCUSDT,spot,MARKET_LOT_SIZE.maxQty,103.85345508,2025-12-09T11:16:42Z,24,24,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_BTCUSDT_MARKET_LOT_SIZE_maxQty,SPOTI25,BTCUSDT,spot,MARKET_LOT_SIZE.maxQty,103.85345508,2025-12-09T11:16:42Z,197,197,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_BTCUSDT_MARKET_LOT_SIZE_stepSize,SPOTI25,BTCUSDT,spot,MARKET_LOT_SIZE.stepSize,0,2025-12-09T11:16:42Z,24,0,0,24,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_BTCUSDT_MARKET_LOT_SIZE_stepSize,SPOTI25,BTCUSDT,spot,MARKET_LOT_SIZE.stepSize,0,2025-12-09T11:16:42Z,197,0,0,197,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_BTCUSDT_NOTIONAL_minNotional,SPOTI25,BTCUSDT,spot,NOTIONAL.minNotional,5,2025-12-09T11:16:42Z,24,24,0,0,True,requested_quantity_times_first_fill_reference_proxy,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_BTCUSDT_NOTIONAL_minNotional,SPOTI25,BTCUSDT,spot,NOTIONAL.minNotional,5,2025-12-09T11:16:42Z,197,77,0,120,True,requested_quantity_times_first_fill_reference_proxy,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_BTCUSDT_NOTIONAL_maxNotional,SPOTI25,BTCUSDT,spot,NOTIONAL.maxNotional,9000000,2025-12-09T11:16:42Z,24,0,0,0,False,not_applied_market_flag_false,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_BTCUSDT_NOTIONAL_maxNotional,SPOTI25,BTCUSDT,spot,NOTIONAL.maxNotional,9000000,2025-12-09T11:16:42Z,197,0,0,0,False,not_applied_market_flag_false,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_ETHUSDT_LOT_SIZE_minQty,SPOTI25,ETHUSDT,spot,LOT_SIZE.minQty,0.0001,2025-12-09T11:16:42Z,167,167,0,0,,quantity_below_minimum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_ETHUSDT_LOT_SIZE_minQty,SPOTI25,ETHUSDT,spot,LOT_SIZE.minQty,0.0001,2025-12-09T11:16:42Z,212,212,0,0,,quantity_below_minimum,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_ETHUSDT_LOT_SIZE_maxQty,SPOTI25,ETHUSDT,spot,LOT_SIZE.maxQty,9000,2025-12-09T11:16:42Z,167,167,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_ETHUSDT_LOT_SIZE_maxQty,SPOTI25,ETHUSDT,spot,LOT_SIZE.maxQty,9000,2025-12-09T11:16:42Z,212,212,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_ETHUSDT_LOT_SIZE_stepSize,SPOTI25,ETHUSDT,spot,LOT_SIZE.stepSize,0.0001,2025-12-09T11:16:42Z,167,167,0,0,,quantity_modulo_positive_step,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_ETHUSDT_LOT_SIZE_stepSize,SPOTI25,ETHUSDT,spot,LOT_SIZE.stepSize,0.0001,2025-12-09T11:16:42Z,212,212,0,0,,quantity_modulo_positive_step,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_ETHUSDT_MARKET_LOT_SIZE_minQty,SPOTI25,ETHUSDT,spot,MARKET_LOT_SIZE.minQty,0,2025-12-09T11:16:42Z,167,0,0,167,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_ETHUSDT_MARKET_LOT_SIZE_minQty,SPOTI25,ETHUSDT,spot,MARKET_LOT_SIZE.minQty,0,2025-12-09T11:16:42Z,212,0,0,212,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_ETHUSDT_MARKET_LOT_SIZE_maxQty,SPOTI25,ETHUSDT,spot,MARKET_LOT_SIZE.maxQty,2554.65952958,2025-12-09T11:16:42Z,167,167,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_ETHUSDT_MARKET_LOT_SIZE_maxQty,SPOTI25,ETHUSDT,spot,MARKET_LOT_SIZE.maxQty,2554.65952958,2025-12-09T11:16:42Z,212,212,0,0,,quantity_above_order_maximum,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_ETHUSDT_MARKET_LOT_SIZE_stepSize,SPOTI25,ETHUSDT,spot,MARKET_LOT_SIZE.stepSize,0,2025-12-09T11:16:42Z,167,0,0,167,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_ETHUSDT_MARKET_LOT_SIZE_stepSize,SPOTI25,ETHUSDT,spot,MARKET_LOT_SIZE.stepSize,0,2025-12-09T11:16:42Z,212,0,0,212,,published_zero_semantics_unresolved,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_ETHUSDT_NOTIONAL_minNotional,SPOTI25,ETHUSDT,spot,NOTIONAL.minNotional,5,2025-12-09T11:16:42Z,167,47,0,120,True,requested_quantity_times_first_fill_reference_proxy,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_ETHUSDT_NOTIONAL_minNotional,SPOTI25,ETHUSDT,spot,NOTIONAL.minNotional,5,2025-12-09T11:16:42Z,212,92,0,120,True,requested_quantity_times_first_fill_reference_proxy,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,SPOTI25_ETHUSDT_NOTIONAL_maxNotional,SPOTI25,ETHUSDT,spot,NOTIONAL.maxNotional,9000000,2025-12-09T11:16:42Z,167,0,0,0,False,not_applied_market_flag_false,atemporal_candidate_no_interpolation
run_dfea4b7ac1475668d5968c97,SPOTI25_ETHUSDT_NOTIONAL_maxNotional,SPOTI25,ETHUSDT,spot,NOTIONAL.maxNotional,9000000,2025-12-09T11:16:42Z,212,0,0,0,False,not_applied_market_flag_false,atemporal_candidate_no_interpolation
run_ad71d751b20623006c195ff3,FUTI22_BTCUSDT_LOT_SIZE_stepSize,FUTI22,BTCUSDT,futures,LOT_SIZE.stepSize,0.001,2022-01-02T13:48:38Z,24,24,0,0,,quantity_modulo_positive_step,atemporal_candidate_no_interpolation
