window,symbol,sample_reason,decision_utc,conditional_funding_anchor_utc,spot_interval_utc,spot_available_utc,futures_interval_utc,futures_available_utc,spot_original_source_path,spot_original_source_line,spot_original_timestamp_unit,futures_original_source_path,futures_original_source_line,futures_original_timestamp_unit,spot_original_close,futures_original_close,basis_independent,conditional_basis_persisted,permanent_basis_persisted,classification_audited,conditional_basis_difference,permanent_basis_difference,audit_status,conditional_signal_id,permanent_signal_id
early,ETHUSDT,temporal_grid_11/13,2023-07-06T08:01:00.000000000Z,2023-07-06T08:00:00.000000000Z,"[2023-07-06T08:00:00.000000000Z,2023-07-06T08:01:00.000000000Z)",2023-07-06T08:01:00.000000000Z,"[2023-07-06T08:00:00.000000000Z,2023-07-06T08:01:00.000000000Z)",2023-07-06T08:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-07.zip,7681,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-07.zip,7682,ms,1925.25000000,1924.50,-0.000389559797428905336969224776003116478379431242695753798208,-0.0003895597974289053369692248,-0.0003895597974289053369692248,negative,-2.3996883521620568757304246201792E-29,-2.3996883521620568757304246201792E-29,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=1852,run_f4151cc97937f3704d77fb14:signals.parquet:row=4042
early,ETHUSDT,temporal_grid_12/13,2023-08-03T08:01:00.000000000Z,2023-08-03T08:00:00.000000000Z,"[2023-08-03T08:00:00.000000000Z,2023-08-03T08:01:00.000000000Z)",2023-08-03T08:01:00.000000000Z,"[2023-08-03T08:00:00.000000000Z,2023-08-03T08:01:00.000000000Z)",2023-08-03T08:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-08.zip,3361,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-08.zip,3362,ms,1832.02000000,1831.47,-0.000300215063154332376284101701946485300378816825143830307529,-0.0003002150631543323762841017,-0.0003002150631543323762841017,negative,1.946485300378816825143830307529E-30,1.946485300378816825143830307529E-30,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=2020,run_f4151cc97937f3704d77fb14:signals.parquet:row=4210
early,ETHUSDT,temporal_grid_13/13,2023-08-31T16:01:00.000000000Z,2023-08-31T16:00:00.000000000Z,"[2023-08-31T16:00:00.000000000Z,2023-08-31T16:01:00.000000000Z)",2023-08-31T16:01:00.000000000Z,"[2023-08-31T16:00:00.000000000Z,2023-08-31T16:01:00.000000000Z)",2023-08-31T16:01:00.000000000Z,data/minutes/2022_2023/raw/spot/klines/ETHUSDT/ETHUSDT-1m-2023-08.zip,44161,ms,data/minutes/2022_2023/raw/futures/klines/ETHUSDT/ETHUSDT-1m-2023-08.zip,44162,ms,1688.77000000,1688.06,-0.000420424332502353784115065994777263925815830456486081586006,-0.0004204243325023537841150660,-0.0004204243325023537841150660,negative,-5.222736074184169543513918413994E-30,-5.222736074184169543513918413994E-30,verified,run_f4151cc97937f3704d77fb14:signals.parquet:row=2190,run_f4151cc97937f3704d77fb14:signals.parquet:row=4380
late,BTCUSDT,temporal_grid_0/13,2025-09-01T00:01:00.000000000Z,2025-09-01T00:00:00.000000000Z,"[2025-09-01T00:00:00.000000000Z,2025-09-01T00:01:00.000000000Z)",2025-09-01T00:01:00.000000000Z,"[2025-09-01T00:00:00.000000000Z,2025-09-01T00:01:00.000000000Z)",2025-09-01T00:01:00.000000000Z,data/minutes/2025_2026/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2025-09.zip,1,us,data/minutes/2025_2026/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2025-09.zip,2,ms,108260.00000000,108221.40,-0.000356549048586735636430814705338998706816922224274893774247,-0.0003565490485867356364308147,-0.0003565490485867356364308147,negative,5.338998706816922224274893774247E-30,5.338998706816922224274893774247E-30,verified,run_519a165818e2cadce24bc873:signals.parquet:row=1,run_519a165818e2cadce24bc873:signals.parquet:row=2191
late,BTCUSDT,temporal_grid_1/13,2025-09-29T00:01:00.000000000Z,2025-09-29T00:00:00.000000000Z,"[2025-09-29T00:00:00.000000000Z,2025-09-29T00:01:00.000000000Z)",2025-09-29T00:01:00.000000000Z,"[2025-09-29T00:00:00.000000000Z,2025-09-29T00:01:00.000000000Z)",2025-09-29T00:01:00.000000000Z,data/minutes/2025_2026/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2025-09.zip,40321,us,data/minutes/2025_2026/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2025-09.zip,40322,ms,112149.02000000,112094.30,-0.000487922230617797641031548915897793846080866333027252489589,-0.0004879222306177976410315489,-0.0004879222306177976410315489,negative,1.5897793846080866333027252489589E-29,1.5897793846080866333027252489589E-29,verified,run_519a165818e2cadce24bc873:signals.parquet:row=169,run_519a165818e2cadce24bc873:signals.parquet:row=2359
late,BTCUSDT,temporal_grid_2/13,2025-10-27T00:01:00.000000000Z,2025-10-27T00:00:00.000000000Z,"[2025-10-27T00:00:00.000000000Z,2025-10-27T00:01:00.000000000Z)",2025-10-27T00:01:00.000000000Z,"[2025-10-27T00:00:00.000000000Z,2025-10-27T00:01:00.000000000Z)",2025-10-27T00:01:00.000000000Z,data/minutes/2025_2026/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2025-10.zip,37441,us,data/minutes/2025_2026/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2025-10.zip,37442,ms,114384.15000000,114321.50,-0.000547715745581883503964491583842691491784482378021780115514,-0.0005477157455818835039644916,-0.0005477157455818835039644916,negative,-1.6157308508215517621978219884486E-29,-1.6157308508215517621978219884486E-29,verified,run_519a165818e2cadce24bc873:signals.parquet:row=337,run_519a165818e2cadce24bc873:signals.parquet:row=2527
late,BTCUSDT,temporal_grid_3/13,2025-11-24T00:01:00.004000000Z,2025-11-24T00:00:00.004000000Z,"[2025-11-24T00:00:00.000000000Z,2025-11-24T00:01:00.000000000Z)",2025-11-24T00:01:00.000000000Z,"[2025-11-24T00:00:00.000000000Z,2025-11-24T00:01:00.000000000Z)",2025-11-24T00:01:00.000000000Z,data/minutes/2025_2026/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2025-11.zip,33121,us,data/minutes/2025_2026/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2025-11.zip,33122,ms,86780.01000000,86746.90,-0.000381539481269937627340674424904998282438547771543239047795,-0.0003815394812699376273406744,-0.0003815394812699376273406744,negative,2.4904998282438547771543239047795E-29,2.4904998282438547771543239047795E-29,verified,run_519a165818e2cadce24bc873:signals.parquet:row=505,run_519a165818e2cadce24bc873:signals.parquet:row=2695
late,BTCUSDT,temporal_grid_4/13,2025-12-22T00:01:00.000000000Z,2025-12-22T00:00:00.000000000Z,"[2025-12-22T00:00:00.000000000Z,2025-12-22T00:01:00.000000000Z)",2025-12-22T00:01:00.000000000Z,"[2025-12-22T00:00:00.000000000Z,2025-12-22T00:01:00.000000000Z)",2025-12-22T00:01:00.000000000Z,data/minutes/2025_2026/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2025-12.zip,30241,us,data/minutes/2025_2026/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2025-12.zip,30242,ms,88769.84000000,88731.50,-0.000431903448288292510158855755513359041764635376159290137281,-0.0004319034482882925101588558,-0.0004319034482882925101588558,negative,-4.4486640958235364623840709862719E-29,-4.4486640958235364623840709862719E-29,verified,run_519a165818e2cadce24bc873:signals.parquet:row=673,run_519a165818e2cadce24bc873:signals.parquet:row=2863
late,BTCUSDT,temporal_grid_5/13,2026-01-19T00:01:00.007000000Z,2026-01-19T00:00:00.007000000Z,"[2026-01-19T00:00:00.000000000Z,2026-01-19T00:01:00.000000000Z)",2026-01-19T00:01:00.000000000Z,"[2026-01-19T00:00:00.000000000Z,2026-01-19T00:01:00.000000000Z)",2026-01-19T00:01:00.000000000Z,data/minutes/2025_2026/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2026-01.zip,25921,us,data/minutes/2025_2026/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2026-01.zip,25922,ms,93365.03000000,93311.40,-0.000574412068415765517346269797160671399130916575510124079647,-0.0005744120684157655173462698,-0.0005744120684157655173462698,negative,-2.839328600869083424489875920353E-30,-2.839328600869083424489875920353E-30,verified,run_519a165818e2cadce24bc873:signals.parquet:row=841,run_519a165818e2cadce24bc873:signals.parquet:row=3031
late,BTCUSDT,temporal_grid_6/13,2026-02-16T00:01:00.001000000Z,2026-02-16T00:00:00.001000000Z,"[2026-02-16T00:00:00.000000000Z,2026-02-16T00:01:00.000000000Z)",2026-02-16T00:01:00.000000000Z,"[2026-02-16T00:00:00.000000000Z,2026-02-16T00:01:00.000000000Z)",2026-02-16T00:01:00.000000000Z,data/minutes/2025_2026/raw/spot/klines/BTCUSDT/BTCUSDT-1m-2026-02.zip,21601,us,data/minutes/2025_2026/raw/futures/klines/BTCUSDT/BTCUSDT-1m-2026-02.zip,21602,ms,68751.76000000,68717.10,-0.000504132548752206488968427862792167065977656426540935097516,-0.0005041325487522064889684279,-0.0005041325487522064889684279,negative,-3.7207832934022343573459064902484E-29,-3.7207832934022343573459064902484E-29,verified,run_519a165818e2cadce24bc873:signals.parquet:row=1009,run_519a165818e2cadce24bc873:signals.parquet:row=3199
