report_id,phase,window,strategy,symbol,metric,original,audited,difference,scope,audit_status
revision_eb5ed744b30836a39fd694fa,corrected,early,conditional,ETHUSDT,filter_basis_negative:reject,1006,1006,0,theoretical_basis_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,conditional,ETHUSDT,ordered_reject:cooldown,6,6,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,conditional,ETHUSDT,ordered_reject:funding,884,884,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,conditional,ETHUSDT,ordered_reject:state_active,203,203,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,conditional,ETHUSDT,filter_funding:reject,1087,1087,0,applicable_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,conditional,ETHUSDT,simultaneous_reject,1093,1093,0,applicable_conditions_union,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,basis_observations,1095,1095,0,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,p10,-0.0006225179778898787163249973,-0.000622517977889878716324997316732853922936567564666738220457,1.6732853922936567564666738220457E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,p50,-0.0004403268986895871494997886,-0.000440326898689587149499788643088628998168240101451317458081,4.3088628998168240101451317458081E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,p90,-0.0000735699834467537244804120,-0.000073569983446753724480411991907301820857090307154680890197,-8.092698179142909692845319109803E-30,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,filter_basis_negative:reject,1006,1006,0,theoretical_basis_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,ordered_reject:basis_negative,102,102,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,ordered_reject:cooldown,6,6,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,ordered_reject:state_active,984,984,0,operational_block,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,filter_funding:reject,0,0,0,applicable_condition,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,simultaneous_reject,1092,1092,0,applicable_conditions_union,verified
revision_eb5ed744b30836a39fd694fa,corrected,early,permanent,ETHUSDT,filter_funding:diagnostic_fail_not_applied,1087,1087,0,theoretical_not_applied,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,BTCUSDT,basis_observations,1095,1095,0,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,BTCUSDT,p10,-0.0005835122443154374492508992,-0.000583512244315437449250899184721498922632581269959232173420,-1.5278501077367418730040767826580E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,BTCUSDT,p50,-0.0004691424772140704521306682,-0.000469142477214070452130668201294796248216441748502026837292,1.294796248216441748502026837292E-30,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,BTCUSDT,p90,-0.0003462315787588855943119848,-0.000346231578758885594311984752844216010841077235574700427873,-4.7155783989158922764425299572127E-29,market,verified
revision_eb5ed744b30836a39fd694fa,corrected,late,conditional,BTCUSDT,filter_basis_negative:reject,1090,1090,0,theoretical_basis_condition,verified
