file,rows,units,columns
evidencia/risk_events.csv,2011,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;kind;cause;previous;state;order_id;cycle_id;next_expiry_utc;liquidation;next_expiry;purpose;source_run_id
evidencia/signals.csv,20448,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;strategy;funding_filter_enabled;time_ns;timestamp_utc;anchor;history_start;forecast;no_change;valid;forecast_reason;decision;estimated_cycle_cost;basis;anchor_utc;history_start_utc;mark_available_at_utc;mark_open_time_utc;available_cash;basis_above_max;basis_negative;basis_raw;budget_reason;budget_required_cash;cooldown_until;cost_futures_close_fee;cost_futures_open_fee;cost_slippage_per_order;cost_slippage_total;cost_spot_close_fee;cost_spot_open_fee;current_short;current_spot;data_valid;decision_kind;decision_time;equity_snapshot;filter_basis_above_max;filter_basis_negative;filter_budget;filter_cooldown;filter_coverage;filter_data_valid;filter_debt;filter_forecast;filter_freshness;filter_funding;filter_mark;filter_operational;filter_order;filter_pending_orders;filter_price_alignment;filter_rules;filter_sizing;filter_state_active;forecast_anchor;forecast_available_at;forecast_cost_gap;forecast_history_start;forecast_no_change;funding_anchor;futures_available_at;futures_end_time;futures_open_time;futures_price;futures_price_time;latest_funding_available_at;latest_funding_time;mark_available_at;mark_open_time;mark_price;mark_time;planned_hedge_error;portfolio_state;price_alignment_enforced;proposed_futures_quantity;proposed_futures_side;proposed_gross_spot;proposed_net_spot;proposed_short;proposed_short_delta;proposed_spot_delta;proposed_spot_side;prospective_pair_feasible;prospective_sizing_reason;sequential_rejection;simultaneous_not_evaluable;simultaneous_rejections;sizing_enforcement;sizing_feasible;sizing_futures_price;sizing_futures_price_time;sizing_reason;sizing_spot_price;sizing_spot_price_time;spot_available_at;spot_end_time;spot_open_time;spot_price;spot_price_time;target_quantity;target_usdt;unallocated_target_usdt;source_run_id
tablas/actividad.csv,18,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,period;symbol;orders_submitted;fills;partial_fills;opening_attempts;completed_openings;completed_cycles;failed_cycles;close_requests;execution_failure_events;failed_order_ids;renewals;rebalances;corrections;liquidation_fills;turnover_usdt;strategy;source_run_id
tablas/ciclos.csv,30,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;cycle_id;entry_ns;opened_ns;closed_ns;complete;failed;still_open_at_end;close_causes;entry_utc;opened_utc;closed_utc;strategy;source_run_id
tablas/episodio_2023_03_24_exposicion.csv,6,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,period;symbol;covered_seconds;unhedged_seconds;dust_seconds;flat_seconds;invested_seconds;calendar_seconds;strategy;source_run_id;any_unhedged_seconds;any_covered_seconds;both_covered_seconds;cash_or_dust_seconds
tablas/episodio_2023_03_24_resumen.csv,2,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,time_ns;date;equity_usdt;starting_equity_usdt;daily_return;net_pnl_usdt;spot_pnl_usdt;futures_pnl_usdt;funding_usdt;fees_usdt;liquidation_fees_usdt;slippage_informational_usdt;reconciliation_residual_usdt;capital_deployed_usdt;capital_utilization;gross_exposure_usdt;free_cash_usdt;debt_usdt;invested_seconds;any_unhedged_seconds;any_covered_seconds;both_covered_seconds;cash_or_dust_seconds;calendar_seconds;net_pnl_full_usdt;daily_share_of_positive_profit_full;net_pnl_2022-2023_usdt;daily_share_of_positive_profit_2022-2023;net_pnl_2024-2026-08_usdt;daily_share_of_positive_profit_2024-2026-08;net_pnl_2023_usdt;daily_share_of_positive_profit_2023;strategy;source_run_id
tablas/equity_pnl_diario.csv,3408,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,time_ns;date;equity_usdt;starting_equity_usdt;daily_return;net_pnl_usdt;spot_pnl_usdt;futures_pnl_usdt;funding_usdt;fees_usdt;liquidation_fees_usdt;slippage_informational_usdt;reconciliation_residual_usdt;capital_deployed_usdt;capital_utilization;gross_exposure_usdt;free_cash_usdt;debt_usdt;strategy;source_run_id
tablas/eventos_por_causa.csv,201,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,period;symbol;kind;cause;purpose;count;strategy;source_run_id
tablas/exposicion_intervalos.csv,7623,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;start_ns;end_ns;start_utc;end_exclusive_utc;seconds;exposure;spot;short;state;collateral_usdt;strategy;source_run_id
tablas/filtros_entrada.csv,372,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,period;symbol;scope;filter;state;applied;count;denominator;strategy;source_run_id
tablas/h1_observaciones.csv,10224,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,symbol;time_ns;signal_utc;anchor;history_start;horizon_end;horizon_end_utc;forecast;no_change;realized;horizon_valid;realized_funding_events;reason;error_ewma;error_no_change;absolute_error_ewma;absolute_error_no_change
tablas/h1_resumen.csv,9,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,period;symbol;total_observations;valid_observations;excluded_observations;exclusion_counts;mae_ewma;mae_no_change
tablas/h3_diario_activo.csv,3408,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,date;time_ns;symbol;complete;expected_minutes;observed_minutes;valid_minutes;eligible_minutes;unknown_market_minutes;invalid_forecast_minutes;known_closure_missing_minutes;nonoperational_minutes;funding_failed_minutes;basis_failed_minutes;opportunity_sum;opportunity;eligible_fraction;reason
tablas/h3_diario_conjunto.csv,1704,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,date;time_ns;complete;opportunity;eligible_fraction;reason
tablas/h3_grupos_forecast.csv,13632,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,date;symbol;forecast_anchor;forecast_available_at;forecast;minutes;valid_minutes;eligible_minutes;opportunity_sum
tablas/h3_resumen.csv,9,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,period;symbol;expected_days;valid_days;excluded_days;opportunity_mean;eligible_fraction;conditional_cagr;h3_verdict
tablas/pnl_diario_activo.csv,6816,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,time_ns;date;symbol;spot_pnl_usdt;futures_pnl_usdt;funding_usdt;fees_usdt;liquidation_fees_usdt;slippage_informational_usdt;net_pnl_usdt;strategy;source_run_id
tablas/resultados_periodos.csv,6,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,period;start_utc;end_exclusive_utc;days;starting_equity_usdt;final_equity_usdt;net_pnl_usdt;spot_pnl_usdt;futures_pnl_usdt;funding_usdt;fees_usdt;liquidation_fees_usdt;slippage_informational_usdt;observations;net_return;cagr;sharpe;annual_volatility;max_drawdown;max_drawdown_days;cagr_reason;sharpe_reason;capital_deployed_daily_mean_usdt;capital_deployed_daily_max_usdt;capital_utilization_daily_mean;capital_utilization_daily_max;strategy;source_run_id
tablas/tiempo_invertido.csv,18,USDT: *_usdt; base asset: spot/short/quantity; seconds: *_seconds; UTC ns: *_ns/time_ns; rates/returns/ratios: fractions; opportunity/MAE: 168h rate fraction; counts: integer,period;symbol;covered_seconds;unhedged_seconds;dust_seconds;flat_seconds;invested_seconds;calendar_seconds;strategy;source_run_id;any_unhedged_seconds;any_covered_seconds;both_covered_seconds;cash_or_dust_seconds
