ventana,estrategia,run_id,simbolo,tipo,medida,valor,unidad,denominador,unidad_denominador,alcance
early,permanent,run_f4151cc97937f3704d77fb14,ETHUSDT,diagnóstico,simultaneous_reject,1092,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,conditional,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,filter_basis_negative:reject,1090,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,conditional,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,filter_funding:reject,1095,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,conditional,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,ordered_reject:funding,1095,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
late,conditional,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,simultaneous_reject,1095,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,conditional,run_519a165818e2cadce24bc873,ETHUSDT,diagnóstico,filter_basis_negative:reject,1095,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,conditional,run_519a165818e2cadce24bc873,ETHUSDT,diagnóstico,filter_funding:reject,1095,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,conditional,run_519a165818e2cadce24bc873,ETHUSDT,diagnóstico,ordered_reject:funding,1095,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
late,conditional,run_519a165818e2cadce24bc873,ETHUSDT,diagnóstico,simultaneous_reject,1095,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,permanent,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,filter_basis_negative:reject,1090,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,permanent,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,filter_budget:not_evaluable,1,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,permanent,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,filter_funding:diagnostic_fail_not_applied,1095,evaluaciones,1095,evaluaciones de entrada,theoretical_not_applied
late,permanent,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,filter_sizing:reject,1,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,permanent,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,filter_state_active:reject,31,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,permanent,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,ordered_reject:basis_negative,1063,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
late,permanent,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,ordered_reject:state_active,31,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
late,permanent,run_519a165818e2cadce24bc873,BTCUSDT,diagnóstico,simultaneous_reject,1094,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,permanent,run_519a165818e2cadce24bc873,ETHUSDT,diagnóstico,filter_basis_negative:reject,1095,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
late,permanent,run_519a165818e2cadce24bc873,ETHUSDT,diagnóstico,filter_funding:diagnostic_fail_not_applied,1095,evaluaciones,1095,evaluaciones de entrada,theoretical_not_applied
late,permanent,run_519a165818e2cadce24bc873,ETHUSDT,diagnóstico,ordered_reject:basis_negative,1095,evaluaciones,1095,evaluaciones de entrada,sequential_first_rejection
late,permanent,run_519a165818e2cadce24bc873,ETHUSDT,diagnóstico,simultaneous_reject,1095,evaluaciones,1095,evaluaciones de entrada,simultaneous_filter_states
