symbol,year,funding_time,funding_time_utc,funding_rate,rate_available_at,interval_hours,price_method,official_price,previous_closed_mark_price,saved_price,relative_error_bps,mark_open_time,mark_close_time,mark_available_at,mark_age_milliseconds,mark_estimation_method,mark_anchor_open_time,mark_source_file,funding_source_file
ETHUSDT,2022,1656028800005000000,2022-06-24T00:00:00.005000000Z,0.00004046,1656028860005000000,7.999996944444444444444444444,previous_closed_1m,,1143.84000000,1143.84000000,,1656028740000000000,1656028799999000000,1656028800000000000,6,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656057600004000000,2022-06-24T08:00:00.004000000Z,0.00008003,1656057660004000000,7.999999722222222222222222222,previous_closed_1m,,1148.74710302,1148.74710302,,1656057540000000000,1656057599999000000,1656057600000000000,5,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656086400018000000,2022-06-24T16:00:00.018000000Z,0.00010000,1656086460018000000,8.000003888888888888888888889,previous_closed_1m,,1197.53540021,1197.53540021,,1656086340000000000,1656086399999000000,1656086400000000000,19,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656115200001000000,2022-06-25T00:00:00.001000000Z,-0.00003928,1656115260001000000,7.999995277777777777777777778,previous_closed_1m,,1224.48000000,1224.48000000,,1656115140000000000,1656115199999000000,1656115200000000000,2,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656144000010000000,2022-06-25T08:00:00.010000000Z,0.00003156,1656144060010000000,8.0000025,previous_closed_1m,,1233.81228081,1233.81228081,,1656143940000000000,1656143999999000000,1656144000000000000,11,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656172800000000000,2022-06-25T16:00:00.000000000Z,0.00000642,1656172860000000000,7.999997222222222222222222222,previous_closed_1m,,1183.56324877,1183.56324877,,1656172740000000000,1656172799999000000,1656172800000000000,1,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656201600002000000,2022-06-26T00:00:00.002000000Z,0.00010000,1656201660002000000,8.000000555555555555555555556,previous_closed_1m,,1241.22656616,1241.22656616,,1656201540000000000,1656201599999000000,1656201600000000000,3,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656230400016000000,2022-06-26T08:00:00.016000000Z,0.00002837,1656230460016000000,8.000003888888888888888888889,previous_closed_1m,,1237.65000000,1237.65000000,,1656230340000000000,1656230399999000000,1656230400000000000,17,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656259200006000000,2022-06-26T16:00:00.006000000Z,-0.00008522,1656259260006000000,7.999997222222222222222222222,previous_closed_1m,,1223.10000000,1223.10000000,,1656259140000000000,1656259199999000000,1656259200000000000,7,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
ETHUSDT,2022,1656288000008000000,2022-06-27T00:00:00.008000000Z,-0.00010252,1656288060008000000,8.000000555555555555555555556,previous_closed_1m,,1197.53639000,1197.53639000,,1656287940000000000,1656287999999000000,1656288000000000000,9,official,,ETHUSDT-1m-2022-06.zip,funding-1638403200000-1788220799999.json
