strategy,symbol,year,price_observations,official_price_observations,approximated_price_observations,open_position_events,official_open_position_events,approximated_open_position_events,base_funding_usdt,official_event_funding_usdt,approximated_event_funding_usdt,observed_proxy_delta_usdt,observed_absolute_deltas_usdt,observed_max_absolute_delta_usdt,observed_delta_return_bps,favorable_delta_usdt,adverse_delta_usdt,favorable_delta_return_bps,adverse_delta_return_bps
permanent,BTCUSDT,2026,729,729,0,729,729,0,40.7241621613858578400,40.7241621613858578400,0,0.0000958902055452608,0.0015972671537956288,0.0000591298102720000,0.00009589020554526080000,0,0,0,0
permanent,BTCUSDT,all,5112,3107,2005,5005,3083,1922,946.5386305563811498758,678.6063887851158692992,267.9322417712652805766,0.0006298366803894602,0.0158326256728106768,0.0010570250600000000,0.00062983668038946020000,0.03420463447100000896174901214,-0.03420463447100000896174903981,0.03420463447100000896174901214,-0.03420463447100000896174903981
permanent,ETHUSDT,2022,1095,0,1095,911,0,911,10.5637282876209769104,0,10.5637282876209769104,0,0,0,0,0.02259928507014844154154026193,-0.02259928507014844154154026193,0.02259928507014844154154026193,-0.02259928507014844154154026193
permanent,ETHUSDT,2023,1095,185,910,1024,185,839,235.0005368000922392927,94.6275662538053297942,140.3729705462869094985,-0.0008184253090586660,0.0029615415095043968,0.0007394636498000000,-0.0008184253090586660000,0.01753538321735519362748944815,-0.01753538321735519362748944815,0.01753538321735519362748944815,-0.01753538321735519362748944815
permanent,ETHUSDT,2024,1098,1098,0,1078,1078,0,416.1637669058276667058,416.1637669058276667058,0,0.0007441529597975237,0.0095874599680866983,0.0007938287983805088,0.00074415295979752370000,0,0,0,0
permanent,ETHUSDT,2025,1095,1095,0,1080,1080,0,160.6033248832647021878,160.6033248832647021878,0,-0.0000556835351444767,0.0051357898395440955,0.0003141582018000000,-0.00005568353514447670000,0,0,0,0
permanent,ETHUSDT,2026,729,729,0,729,729,0,27.5487768031791118302,27.5487768031791118302,0,0.0000147741348150552,0.0020427221679546240,0.0000598839628348260,0.00001477413481505520000,0,0,0,0
permanent,ETHUSDT,all,5112,3107,2005,4822,3072,1750,849.8801336799846969269,698.9434348460768105180,150.9366988339078864089,-0.0001151817495905638,0.0197275134850898146,0.0007938287983805088,-0.00011518174959056380000,0.04013466828750363516902971007,-0.04013466828750363516902971007,0.04013466828750363516902971007,-0.04013466828750363516902971007
permanent,ALL,2022,2190,0,2190,1986,0,1986,126.4592783482765412188,0,126.4592783482765412188,0,0,0,0,0.04114352411472663813621573168,-0.04114352411472663813621574314,0.04114352411472663813621573168,-0.04114352411472663813621574314
permanent,ALL,2023,2190,370,1820,2052,366,1686,471.5533316333768620281,179.1436693764802362614,292.4096622568966257667,-0.0009930353844119916,0.0041302298708605392,0.0007394636498000000,-0.00099303538441199160000,0.03319577864377700599456299057,-0.03319577864377700599456300688,0.03319577864377700599456299057,-0.03319577864377700599456300688
permanent,ALL,2024,2196,2196,0,2156,2156,0,801.2670105818936544357,801.2670105818936544357,0,0.0016678572082591088,0.0201400184985730890,0.0010570250600000000,0.00166785720825910880000,0,0,0,0
permanent,ALL,2025,2190,2190,0,2175,2175,0,328.8662047082538194499,328.8662047082538194499,0,-0.0002708312334085368,0.0076499014667166104,0.0003141582018000000,-0.00027083123340853680000,0,0,0,0
permanent,ALL,2026,1458,1458,0,1458,1458,0,68.2729389645649696702,68.2729389645649696702,0,0.0001106643403603160,0.0036399893217502528,0.0000598839628348260,0.0001106643403603160000,0,0,0,0
permanent,ALL,all,10224,6214,4010,9827,6155,3672,1796.4187642363658468027,1377.5498236311926798172,418.8689406051731669855,0.0005146549307988964,0.0355601391579004914,0.0010570250600000000,0.00051465493079889640000,0.07433930275850364413077872223,-0.07433930275850364413077875000,0.07433930275850364413077872223,-0.07433930275850364413077875000
