strategy,symbol,year,funding_time,funding_time_utc,price_method,event_id,short_before,prior_ledger_event_id,prior_ledger_time_ns,p95_abs_bps,base_funding_usdt,known_proxy_delta_usdt,favorable_price,adverse_price,favorable_delta_usdt,adverse_delta_usdt
conditional,ETHUSDT,2024,1718956800000000000,2024-06-21T08:00:00.000000000Z,exact,funding:ETHUSDT:1718956800000000000,0.911,funding:ETHUSDT:1718928000000000000,1718928000000000000,1.135601893930837155781560200,0.0665479919214000000,3.831666000000E-7,3473.58000000,3473.58000000,0E-19,0E-19
conditional,BTCUSDT,2024,1718985600000000000,2024-06-21T16:00:00.000000000Z,exact,funding:BTCUSDT:1718985600000000000,0.048,funding:BTCUSDT:1718956800000000000,1718956800000000000,0.9387745588475827684944214000,0.3058176000000000000,-0.0000100032340320000,63712.00000000,63712.00000000,0E-19,0E-19
conditional,ETHUSDT,2024,1718985600000000000,2024-06-21T16:00:00.000000000Z,exact,funding:ETHUSDT:1718985600000000000,0.911,funding:ETHUSDT:1718956800000000000,1718956800000000000,1.135601893930837155781560200,0.3180656290000000000,-0.0000273300000000000,3491.39000000,3491.39000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719014400000000000,2024-06-22T00:00:00.000000000Z,exact,funding:BTCUSDT:1719014400000000000,0.048,funding:BTCUSDT:1718985600000000000,1718985600000000000,0.9387745588475827684944214000,0.3077952000000000000,4.800000000000E-7,64124.00000000,64124.00000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719014400000000000,2024-06-22T00:00:00.000000000Z,exact,funding:ETHUSDT:1719014400000000000,0.911,funding:ETHUSDT:1718985600000000000,1718985600000000000,1.135601893930837155781560200,0.1462374507272000000,0.0000033262432000000,3517.18000000,3517.18000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719043200000000000,2024-06-22T08:00:00.000000000Z,exact,funding:BTCUSDT:1719043200000000000,0.048,funding:BTCUSDT:1719014400000000000,1719014400000000000,0.9387745588475827684944214000,0.1283404582080000000,0E-19,64490.10000000,64490.10000000,0E-19,0E-19
conditional,ETHUSDT,2024,1719043200000000000,2024-06-22T08:00:00.000000000Z,exact,funding:ETHUSDT:1719043200000000000,0.911,funding:ETHUSDT:1719014400000000000,1719014400000000000,1.135601893930837155781560200,0.1857155272271000000,-5.317507000000E-7,3492.53000000,3492.53000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719072000000000000,2024-06-22T16:00:00.000000000Z,exact,funding:BTCUSDT:1719072000000000000,0.048,funding:BTCUSDT:1719043200000000000,1719043200000000000,0.9387745588475827684944214000,0.3085606554552960000,0E-19,64283.46988652,64283.46988652,0E-19,0E-19
conditional,ETHUSDT,2024,1719072000000000000,2024-06-22T16:00:00.000000000Z,exact,funding:ETHUSDT:1719072000000000000,0.911,funding:ETHUSDT:1719043200000000000,1719043200000000000,1.135601893930837155781560200,0.1249619100840000000,-0.0000149757468000000,3504.60000000,3504.60000000,0E-19,0E-19
conditional,BTCUSDT,2024,1719100800000000000,2024-06-23T00:00:00.000000000Z,exact,funding:BTCUSDT:1719100800000000000,0.048,funding:BTCUSDT:1719072000000000000,1719072000000000000,0.9387745588475827684944214000,0.3083640857191680000,1.73616960000E-8,64242.51785816,64242.51785816,0E-19,0E-19
