time_ns,date,symbol,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,net_pnl_usdt,strategy,source_run_id
1717804799999999999,2024-06-07,ETHUSDT,-113.366816416000000000000000,114.133250000000000000000000,1.4969123998738393946,0E-9,0,0E-27,2.263345983873839394600000,conditional,run_ad71d751b20623006c195ff3
1717891199999999999,2024-06-08,BTCUSDT,-2.392164038500000000000000,1.912500000000000000000000,0.9380304252765900000,0E-10,0,0E-27,0.458366386776590000000000,conditional,run_ad71d751b20623006c195ff3
1717891199999999999,2024-06-08,ETHUSDT,2.100640352000000000000000,-1.635647171620000000000000,0.9384260270000000000,0E-9,0,0E-27,1.403419207380000000000000,conditional,run_ad71d751b20623006c195ff3
1717977599999999999,2024-06-09,BTCUSDT,15.391313946300000000000000,-14.745338282250000000000000,0.9369387000000000000,0E-10,0,0E-27,1.582914364050000000000000,conditional,run_ad71d751b20623006c195ff3
1717977599999999999,2024-06-09,ETHUSDT,21.108047408000000000000000,-21.260796577020000000000000,0.9368523010000000000,0E-9,0,0E-27,0.784103131980000000000000,conditional,run_ad71d751b20623006c195ff3
1718063999999999999,2024-06-10,BTCUSDT,-5.118735956700000000000000,4.566784452300000000000000,0.9408010830319350000,0E-10,0,0E-27,0.388849578631935000000000,conditional,run_ad71d751b20623006c195ff3
1718063999999999999,2024-06-10,ETHUSDT,-32.593806752000000000000000,32.120273748640000000000000,0.9368808843795170000,0E-9,0,0E-27,0.463347881019517000000000,conditional,run_ad71d751b20623006c195ff3
1718150399999999999,2024-06-11,BTCUSDT,-99.466315744200000000000000,101.002053829950000000000000,0.9153056674787400000,0E-10,0,0E-27,2.451043753228740000000000,conditional,run_ad71d751b20623006c195ff3
1718150399999999999,2024-06-11,ETHUSDT,-144.003978324000000000000000,144.887820000000000000000000,0.9023212653585130000,0E-9,0,0E-27,1.786162941358513000000000,conditional,run_ad71d751b20623006c195ff3
1718236799999999999,2024-06-12,BTCUSDT,42.035925626300000000000000,-42.185640638250000000000000,0.9202738117659300000,0E-10,0,0E-27,0.770558799815930000000000,conditional,run_ad71d751b20623006c195ff3
