period,symbol,kind,cause,purpose,count,strategy,source_run_id
full,ETHUSDT,transition,opening_or_second_leg_failed,,2,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,perpetual_closed_waiting_spot,,9,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,real_market_inactivity,,3,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,rebalance_complete,,69,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,renewal_rebalance,,69,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,spot_filled_waiting_hedge,,10,permanent,run_dfea4b7ac1475668d5968c97
full,ETHUSDT,transition,unwind_complete,,12,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,attempt_failed,timeout,close_perp,72,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,attempt_failed,timeout,close_spot,120,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,close_requested,real_market_inactivity,,3,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,rebalance_skipped,joint_sizing:insufficient_cash,,24,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,renewal,,,99,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,transition,cooldown_elapsed,,3,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,transition,entry,,4,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,transition,opening_complete,,4,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,transition,perpetual_closed_waiting_spot,,3,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,transition,real_market_inactivity,,3,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,transition,rebalance_complete,,24,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,transition,renewal_rebalance,,24,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,transition,spot_filled_waiting_hedge,,4,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,BTCUSDT,transition,unwind_complete,,3,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,attempt_failed,timeout,close_perp,4,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,attempt_failed,timeout,close_spot,122,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,attempt_failed,timeout,open_perp,1,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,close_requested,basis_widening,,3,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,close_requested,opening_or_second_leg_failed,,1,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,close_requested,real_market_inactivity,,2,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,rebalance_skipped,joint_sizing:insufficient_cash,,42,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,renewal,,,90,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,basis_widening,,1,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,cooldown_elapsed,,4,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,entry,,5,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,opening_complete,,4,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,opening_or_second_leg_failed,,1,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,perpetual_closed_waiting_spot,,4,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,real_market_inactivity,,2,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,rebalance_complete,,23,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,renewal_rebalance,,23,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,spot_filled_waiting_hedge,,5,permanent,run_dfea4b7ac1475668d5968c97
2022-2023,ETHUSDT,transition,unwind_complete,,6,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,attempt_failed,timeout,close_perp,43,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,attempt_failed,timeout,open_perp,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,close_requested,margin,,3,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,close_requested,opening_or_second_leg_failed,,1,permanent,run_dfea4b7ac1475668d5968c97
2024-2026-08,BTCUSDT,close_requested,real_market_inactivity,,1,permanent,run_dfea4b7ac1475668d5968c97
