symbol,time_ns,signal_utc,anchor,history_start,horizon_end,horizon_end_utc,forecast,no_change,realized,horizon_valid,realized_funding_events,reason,error_ewma,error_no_change,absolute_error_ewma,absolute_error_no_change
BTCUSDT,1716710460000000000,2024-05-26T08:01:00.000000000Z,1716710400000000000,1715500800000000000,1717315260000000000,2024-06-02T08:01:00.000000000Z,0.002089394271093513184732882793,0.00210000,0.00219675,True,21,,-0.000107355728906486815267117207,-0.00009675,0.000107355728906486815267117207,0.00009675
ETHUSDT,1716710460000000000,2024-05-26T08:01:00.000000000Z,1716710400000000000,1715500800000000000,1717315260000000000,2024-06-02T08:01:00.000000000Z,0.002114943980747890032631384997,0.00210000,0.00276144,True,21,,-0.000646496019252109967368615003,-0.00066144,0.000646496019252109967368615003,0.00066144
BTCUSDT,1716739260000000000,2024-05-26T16:01:00.000000000Z,1716739200000000000,1715529600000000000,1717344060000000000,2024-06-02T16:01:00.000000000Z,0.002091582227388510272501553991,0.00210000,0.00219675,True,21,,-0.000105167772611489727498446009,-0.00009675,0.000105167772611489727498446009,0.00009675
ETHUSDT,1716739260000000000,2024-05-26T16:01:00.000000000Z,1716739200000000000,1715529600000000000,1717344060000000000,2024-06-02T16:01:00.000000000Z,0.002111870911564362939477250455,0.00210000,0.00276144,True,21,,-0.000649569088435637060522749545,-0.00066144,0.000649569088435637060522749545,0.00066144
BTCUSDT,1716768060000000000,2024-05-27T00:01:00.000000000Z,1716768000000000000,1715529600000000000,1717372860000000000,2024-06-03T00:01:00.000000000Z,0.002093318893581091464427199851,0.00210000,0.00219675,True,21,,-0.000103431106418908535572800149,-0.00009675,0.000103431106418908535572800149,0.00009675
ETHUSDT,1716768060000000000,2024-05-27T00:01:00.000000000Z,1716768000000000000,1715529600000000000,1717372860000000000,2024-06-03T00:01:00.000000000Z,0.002109421830110106150878775074,0.00210000,0.00278846,True,21,,-0.000679038169889893849121224926,-0.00068846,0.000679038169889893849121224926,0.00068846
BTCUSDT,1716796860000000000,2024-05-27T08:01:00.000000000Z,1716796800000000000,1715558400001000000,1717401660000000000,2024-06-03T08:01:00.000000000Z,0.002094697202321896387083784199,0.00210000,0.00223810,True,21,,-0.000143402797678103612916215801,-0.00013810,0.000143402797678103612916215801,0.00013810
ETHUSDT,1716796860000000000,2024-05-27T08:01:00.000000000Z,1716796800000000000,1715558400001000000,1717401660000000000,2024-06-03T08:01:00.000000000Z,0.002107486865692916791335537286,0.00210000,0.00284649,True,21,,-0.000739003134307083208664462714,-0.00074649,0.000739003134307083208664462714,0.00074649
BTCUSDT,1716825660000000000,2024-05-27T16:01:00.000000000Z,1716825600000000000,1715616000000000000,1717430460000000000,2024-06-03T16:01:00.000000000Z,0.002095796572107021014580364322,0.00210000,0.00223810,True,21,,-0.000142303427892978985419635678,-0.00013810,0.000142303427892978985419635678,0.00013810
ETHUSDT,1716825660000000000,2024-05-27T16:01:00.000000000Z,1716825600000000000,1715616000000000000,1717430460000000000,2024-06-03T16:01:00.000000000Z,0.002105942404065035977336456177,0.00210000,0.00287464,True,21,,-0.000768697595934964022663543823,-0.00077464,0.000768697595934964022663543823,0.00077464
BTCUSDT,1716854460000000000,2024-05-28T00:01:00.000000000Z,1716854400000000000,1715644800000000000,1717459260000000000,2024-06-04T00:01:00.000000000Z,0.002096664091417429800114794761,0.00210000,0.00225818,True,21,,-0.000161515908582570199885205239,-0.00015818,0.000161515908582570199885205239,0.00015818
ETHUSDT,1716854460000000000,2024-05-28T00:01:00.000000000Z,1716854400000000000,1715644800000000000,1717459260000000000,2024-06-04T00:01:00.000000000Z,0.002104716489232021647584689044,0.00210000,0.00287464,True,21,,-0.000769923510767978352415310956,-0.00077464,0.000769923510767978352415310956,0.00077464
BTCUSDT,1716883260000000000,2024-05-28T08:01:00.000000000Z,1716883200000000000,1715673600000000000,1717488060000000000,2024-06-04T08:01:00.000000000Z,0.002097352287603382483660663487,0.00210000,0.00225818,True,21,,-0.000160827712396617516339336513,-0.00015818,0.000160827712396617516339336513,0.00015818
ETHUSDT,1716883260000000000,2024-05-28T08:01:00.000000000Z,1716883200000000000,1715673600000000000,1717488060000000000,2024-06-04T08:01:00.000000000Z,0.002103748398532412015464132753,0.00210000,0.00287464,True,21,,-0.000770891601467587984535867247,-0.00077464,0.000770891601467587984535867247,0.00077464
BTCUSDT,1716912060000000000,2024-05-28T16:01:00.000000000Z,1716912000000000000,1715702400000000000,1717516860000000000,2024-06-04T16:01:00.000000000Z,0.002097913338965301022336560309,0.00210000,0.00225818,True,21,,-0.000160266661034698977663439691,-0.00015818,0.000160266661034698977663439691,0.00015818
ETHUSDT,1716912060000000000,2024-05-28T16:01:00.000000000Z,1716912000000000000,1715702400000000000,1717516860000000000,2024-06-04T16:01:00.000000000Z,0.002197860341658373120011737118,0.00255990,0.00286074,True,21,,-0.000662879658341626879988262882,-0.00030084,0.000662879658341626879988262882,0.00030084
BTCUSDT,1716940860001000000,2024-05-29T00:01:00.001000000Z,1716940800001000000,1715731200000000000,1717545660001000000,2024-06-05T00:01:00.001000000Z,0.002098343801010227537391569549,0.002099999927083335865161949126,0.00225818,True,21,,-0.000159836198989772462608430451,-0.000158180072916664134838050874,0.000159836198989772462608430451,0.000158180072916664134838050874
ETHUSDT,1716940860001000000,2024-05-29T00:01:00.001000000Z,1716940800001000000,1715731200000000000,1717545660001000000,2024-06-05T00:01:00.001000000Z,0.002501963410083071097478133196,0.003671849872505212760235668047,0.00285558,True,21,,-0.000353616589916928902521866804,0.000816269872505212760235668047,0.000353616589916928902521866804,0.000816269872505212760235668047
BTCUSDT,1716969660000000000,2024-05-29T08:01:00.000000000Z,1716969600000000000,1715760000000000000,1717574460000000000,2024-06-05T08:01:00.000000000Z,0.002098712950916377333478341662,0.002100000072916669198495458281,0.00232205,True,21,,-0.000223337049083622666521658338,-0.000222049927083330801504541719,0.000223337049083622666521658338,0.000222049927083330801504541719
ETHUSDT,1716969660000000000,2024-05-29T08:01:00.000000000Z,1716969600000000000,1715760000000000000,1717574460000000000,2024-06-05T08:01:00.000000000Z,0.002419043424490942277166899849,0.002100000072916669198495458281,0.00285558,True,21,,-0.000436536575509057722833100151,-0.000755579927083330801504541719,0.000436536575509057722833100151,0.000755579927083330801504541719
BTCUSDT,1716998460000000000,2024-05-29T16:01:00.000000000Z,1716998400000000000,1715788800000000000,1717603260000000000,2024-06-05T16:01:00.000000000Z,0.002209825352949675062063643716,0.00263718,0.00232873,True,21,,-0.000118904647050324937936356284,0.00030845,0.000118904647050324937936356284,0.00030845
ETHUSDT,1716998460000000000,2024-05-29T16:01:00.000000000Z,1716998400000000000,1715788800000000000,1717603260000000000,2024-06-05T16:01:00.000000000Z,0.002686833761072040128733319154,0.00371700,0.00278517,True,21,,-0.000098336238927959871266680846,0.00093183,0.000098336238927959871266680846,0.00093183
BTCUSDT,1717027260000000000,2024-05-30T00:01:00.000000000Z,1717027200000000000,1715788800000000000,1717632060000000000,2024-06-06T00:01:00.000000000Z,0.002187167342763779718702107348,0.00210000,0.00232873,True,21,,-0.000141562657236220281297892652,-0.00022873,0.000141562657236220281297892652,0.00022873
ETHUSDT,1717027260000000000,2024-05-30T00:01:00.000000000Z,1717027200000000000,1715788800000000000,1717632060000000000,2024-06-06T00:01:00.000000000Z,0.003231106246140217647309625051,0.00532497,0.00272621,True,21,,0.000504896246140217647309625051,0.00259876,0.000504896246140217647309625051,0.00259876
BTCUSDT,1717056060000000000,2024-05-30T08:01:00.000000000Z,1717056000000000000,1715846400000000000,1717660860000000000,2024-06-06T08:01:00.000000000Z,0.002169215042118269230963041483,0.00210000,0.00233311,True,21,,-0.000163894957881730769036958517,-0.00023311,0.000163894957881730769036958517,0.00023311
ETHUSDT,1717056060000000000,2024-05-30T08:01:00.000000000Z,1717056000000000000,1715846400000000000,1717660860000000000,2024-06-06T08:01:00.000000000Z,0.003179834200516529775072582439,0.00298242,0.00278747,True,21,,0.000392364200516529775072582439,0.00019495,0.000392364200516529775072582439,0.00019495
BTCUSDT,1717084860000000000,2024-05-30T16:01:00.000000000Z,1717084800000000000,1715875200000000000,1717689660000000000,2024-06-06T16:01:00.000000000Z,0.002154953090100730425261779716,0.00210000,0.00235081,True,21,,-0.000195856909899269574738220284,-0.00025081,0.000195856909899269574738220284,0.00025081
ETHUSDT,1717084860000000000,2024-05-30T16:01:00.000000000Z,1717084800000000000,1715875200000000000,1717689660000000000,2024-06-06T16:01:00.000000000Z,0.003334269232785751518790574042,0.00392826,0.00275030,True,21,,0.000583969232785751518790574042,0.00117796,0.000583969232785751518790574042,0.00117796
BTCUSDT,1717113660000000000,2024-05-31T00:01:00.000000000Z,1717113600000000000,1715904000000000000,1717718460000000000,2024-06-07T00:01:00.000000000Z,0.002342884582414124780802285617,0.00306579,0.00230482,True,21,,0.000038064582414124780802285617,0.00076097,0.000038064582414124780802285617,0.00076097
