method,strategy,symbol,open_time_utc,available_at_utc,spot,short,average,collateral,mark_close,mark_method,runtime_position_match,close_causes,source,balance,maintenance,liquidation_price,ratio,distance,liquidate,preventive
futures_scaled,conditional,ETHUSDT,2022-07-12T13:52:00.000000000Z,2022-07-12T13:53:00.000000000Z,0,0,0,0,1071.779410166643327265088923,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2022-07-13T06:59:00.000000000Z,2022-07-13T07:00:00.000000000Z,0,0,0,0,19529.80000000,official,False,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,ETHUSDT,2022-07-13T06:59:00.000000000Z,2022-07-13T07:00:00.000000000Z,0,0,0,0,1061.040045263376270674990098,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,0.05300678,0.053,62839.54279508029626945117670,1665.391455354141656662665066,58287.89117834583831635668822,futures_scaled,True,[],persisted_ledger_and_causal_mark,1906.628991041067928176672955,12.35703292980931772306761790,93886.47717607677514364386663,0.006481089392783261633190071417,0.6107372436722490287654929263,False,False
futures_scaled,conditional,ETHUSDT,2024-08-12T10:02:00.000000000Z,2024-08-12T10:03:00.000000000Z,0.0000560,0.000,0,0E-24,2597.629735338345864661654134,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,conditional,BTCUSDT,2024-08-12T10:03:00.000000000Z,2024-08-12T10:04:00.000000000Z,0.05300678,0.053,62839.54279508029626945117670,1665.391455354141656662665066,58232.32264116708687299819921,futures_scaled,True,[],persisted_ledger_and_causal_mark,1909.574123511541754674672873,12.34525239992742241707561823,93886.47717607677514364386663,0.006464924428922177864506812809,0.6122742991828414380655588621,False,False
futures_scaled,conditional,ETHUSDT,2024-08-12T10:03:00.000000000Z,2024-08-12T10:04:00.000000000Z,0.0000560,0.000,0,0E-24,2594.013763909774436090225563,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:58:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19854.48571219,official,False,[],persisted_ledger_and_causal_mark,3302.486836020259999999999999,11.59501965591896,42305.03840801178846258800414,0.003510996479819981093580609563,1.130754682909660504473265837,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T12:57:00.000000000Z,2022-07-12T12:58:00.000000000Z,0.0000690,0.000,0,0E-24,1070.589963129941287931823061,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:08:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19918.70000000,official,False,[],persisted_ledger_and_causal_mark,3293.111549999999999999999999,11.63252080000000,42305.03840801178846258800414,0.003532379824789111683750889035,1.123885515019142236320041174,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T13:07:00.000000000Z,2022-07-12T13:08:00.000000000Z,0.0000690,0.000,0,0E-24,1075.049892087000204662585819,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:16:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19906,official,False,[],persisted_ledger_and_causal_mark,3294.965749999999999999999999,11.625104,42305.03840801178846258800414,0.003528141074000541583778222885,1.125240550990243567898523266,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T13:15:00.000000000Z,2022-07-12T13:16:00.000000000Z,0.0000690,0.000,0,0E-24,1076.430834806886924150767799,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
futures_scaled,permanent,BTCUSDT,2022-07-12T13:16:00.000000000Z,2022-07-12T13:17:00.000000000Z,0.14600377,0.146,28309.78150684931506849315068,2068.013650000000000000000000,19916.30000000,official,False,[],persisted_ledger_and_causal_mark,3293.461949999999999999999999,11.63111920000000,42305.03840801178846258800414,0.003531578435269306815583522987,1.124141452378794678860431111,False,False
futures_scaled,permanent,ETHUSDT,2022-07-12T13:16:00.000000000Z,2022-07-12T13:17:00.000000000Z,0.0000690,0.000,0,0E-24,1076.781088878548161935784085,futures_scaled,True,[],persisted_ledger_and_causal_mark,,,,,,,
