symbol,time_ns,minute_utc,candle_open_utc,spot_close,future_close,mark_close,spot_base_volume,future_base_volume,forecast,forecast_available_at,cycle_cost,complete,eligible,funding_pass,basis_pass,operational,known_closure,forecast_valid,unknown_market_data
BTCUSDT,1719316800000000000,2024-06-25T12:00:00.000000000Z,2024-06-25T11:59:00.000000000Z,61187.64,61170.7,61179.47787234,23.5889,114.211,0.001523005640773059501247453974,1719302460000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719331260000000000,2024-06-25T16:01:00.000000000Z,2024-06-25T16:00:00.000000000Z,61805.17,61766.5,61766.5,24.18527,137.845,0.001544643473333330684538496026,1719331260000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719359940000000000,2024-06-25T23:59:00.000000000Z,2024-06-25T23:58:00.000000000Z,61824.0,61792.4,61794.68841844,4.34341,20.023,0.001544643473333330684538496026,1719331260000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719360000000000000,2024-06-26T00:00:00.000000000Z,2024-06-25T23:59:00.000000000Z,61806.01,61777.8,61780.18735461,5.30362,43.031,0.001544643473333330684538496026,1719331260000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719360120000000000,2024-06-26T00:02:00.000000000Z,2024-06-26T00:01:00.000000000Z,61826.01,61797.8,61801.78958156,7.21029,65.436,0.001659213210375463827409308551,1719360060002000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719388860000000000,2024-06-26T08:01:00.000000000Z,2024-06-26T08:00:00.000000000Z,61721.11,61705.2,61707.35653705,25.08194,86.69,0.001750147317037686551116846395,1719388860000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719403200000000000,2024-06-26T12:00:00.000000000Z,2024-06-26T11:59:00.000000000Z,61445.26,61427.2,61430.71428369,8.19786,37.676,0.001750147317037686551116846395,1719388860000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719417660000000000,2024-06-26T16:01:00.000000000Z,2024-06-26T16:00:00.000000000Z,61440.86,61425.3,61425.70910638,8.28548,108.356,0.001822321741539549588672401237,1719417660000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719446340000000000,2024-06-26T23:59:00.000000000Z,2024-06-26T23:58:00.000000000Z,60860.0,60858.5,60858.73948596,5.32826,36.851,0.001822321741539549588672401237,1719417660000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719446400000000000,2024-06-27T00:00:00.000000000Z,2024-06-26T23:59:00.000000000Z,60864.99,60860.1,60861.7165461,4.43457,26.985,0.001822321741539549588672401237,1719417660000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719446460000000000,2024-06-27T00:01:00.000000000Z,2024-06-27T00:00:00.000000000Z,60840.64,60835.1,60841.06739007,9.19767,68.927,0.001879606620220513125412249017,1719446460000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719475320000000000,2024-06-27T08:02:00.000000000Z,2024-06-27T08:01:00.000000000Z,60806.0,60796.9,60797.06609929,23.73176,51.643,0.001925073645054876932949233997,1719475260001000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719489600000000000,2024-06-27T12:00:00.000000000Z,2024-06-27T11:59:00.000000000Z,61196.02,61188.5,61194.7961773,5.95884,40.168,0.001925073645054876932949233997,1719475260001000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719504060000000000,2024-06-27T16:01:00.000000000Z,2024-06-27T16:00:00.000000000Z,61583.39,61576.9,61575.8,9.47922,125.736,0.001961160873873061436050122504,1719504060000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719532740000000000,2024-06-27T23:59:00.000000000Z,2024-06-27T23:58:00.000000000Z,61706.46,61680.3,61681.56536879,10.26523,30.546,0.001961160873873061436050122504,1719504060000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719532800000000000,2024-06-28T00:00:00.000000000Z,2024-06-27T23:59:00.000000000Z,61706.47,61682.0,61682.1,2.75333,36.517,0.001961160873873061436050122504,1719504060000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719532860000000000,2024-06-28T00:01:00.000000000Z,2024-06-28T00:00:00.000000000Z,61716.07,61691.0,61694.2,19.03442,106.077,0.001989803312573338139817460737,1719532860000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719561660000000000,2024-06-28T08:01:00.000000000Z,2024-06-28T08:00:00.000000000Z,61365.4,61341.2,61341.3,27.65949,196.699,0.002012536831232453843456824803,1719561660000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719576000000000000,2024-06-28T12:00:00.000000000Z,2024-06-28T11:59:00.000000000Z,61690.0,61671.5,61656.464,14.23123,159.625,0.002012536831232453843456824803,1719561660000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719590460000000000,2024-06-28T16:01:00.000000000Z,2024-06-28T16:00:00.000000000Z,61112.0,61092.9,61092.8,13.52023,205.922,0.002030580436947923844595042649,1719590460000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719619140000000000,2024-06-28T23:59:00.000000000Z,2024-06-28T23:58:00.000000000Z,60427.84,60429.8,60429.9,1.97824,14.062,0.002030580436947923844595042649,1719590460000000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1719619200000000000,2024-06-29T00:00:00.000000000Z,2024-06-28T23:59:00.000000000Z,60427.84,60429.8,60430.20968085,2.94083,14.873,0.002030580436947923844595042649,1719590460000000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1719619320000000000,2024-06-29T00:02:00.000000000Z,2024-06-29T00:01:00.000000000Z,60441.67,60436.0,60440.56114894,2.63715,137.944,0.002044901641736157176454154192,1719619260001000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719648060000000000,2024-06-29T08:01:00.000000000Z,2024-06-29T08:00:00.000000000Z,61075.03,61070.1,61071.0074539,26.8505,136.011,0.002056268418717053573848679961,1719648060000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719662400000000000,2024-06-29T12:00:00.000000000Z,2024-06-29T11:59:00.000000000Z,61102.33,61111.0,61109.21734043,10.99496,30.624,0.002056268418717053573848679961,1719648060000000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1719676860000000000,2024-06-29T16:01:00.000000000Z,2024-06-29T16:00:00.000000000Z,61095.01,61088.9,61096.80667376,11.35675,141.618,0.002065290220935524818973574811,1719676860000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719705540000000000,2024-06-29T23:59:00.000000000Z,2024-06-29T23:58:00.000000000Z,60986.68,60982.4,60982.4,2.47188,19.06,0.002065290220935524818973574811,1719676860000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719705600000000000,2024-06-30T00:00:00.000000000Z,2024-06-29T23:59:00.000000000Z,60986.68,60982.4,60982.5,1.19948,4.471,0.002065290220935524818973574811,1719676860000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719705660000000000,2024-06-30T00:01:00.000000000Z,2024-06-30T00:00:00.000000000Z,60989.79,60990.0,60989.9,10.56634,67.355,0.002072451177003687474899128559,1719705660000000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1719734460000000000,2024-06-30T08:01:00.000000000Z,2024-06-30T08:00:00.000000000Z,61566.18,61573.3,61573.74568085,42.25822,277.561,0.002078134209361262661620069660,1719734460000000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1719748800000000000,2024-06-30T12:00:00.000000000Z,2024-06-30T11:59:00.000000000Z,61560.0,61555.6,61555.5,8.21751,52.37,0.002078134209361262661620069660,1719734460000000000,0.0034,True,False,False,False,True,False,True,False
BTCUSDT,1719763260000000000,2024-06-30T16:01:00.000000000Z,2024-06-30T16:00:00.000000000Z,61740.0,61744.1,61741.3270397,5.42343,38.038,0.002082645110469454886645809274,1719763260000000000,0.0034,True,False,False,True,True,False,True,False
BTCUSDT,1719791940000000000,2024-06-30T23:59:00.000000000Z,2024-06-30T23:58:00.000000000Z,62770.58,62766.0,62766.99757887,27.09313,73.248,0.002082645110469454886645809274,1719763260000000000,0.0034,True,False,False,False,True,False,True,False
ETHUSDT,1717200000000000000,2024-06-01T00:00:00.000000000Z,2024-05-31T23:59:00.000000000Z,3762.29,3764.35,3763.91341667,54.4827,373.265,0.002844901674755585425913392182,1717171260000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717200060000000000,2024-06-01T00:01:00.000000000Z,2024-06-01T00:00:00.000000000Z,3765.89,3767.81,3767.66115909,179.9072,1693.469,0.003000189810051454404547758805,1717200060000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717228860000000000,2024-06-01T08:01:00.000000000Z,2024-06-01T08:00:00.000000000Z,3774.06,3776.88,3776.57198485,78.3899,1324.445,0.002944865028236779521629469372,1717228860000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717243200000000000,2024-06-01T12:00:00.000000000Z,2024-06-01T11:59:00.000000000Z,3788.28,3790.39,3790.3189185,28.5636,143.359,0.002944865028236779521629469372,1717228860000000000,0.0034,True,False,False,True,True,False,True,False
ETHUSDT,1717257720000000000,2024-06-01T16:02:00.000000000Z,2024-06-01T16:01:00.000000000Z,3803.0,3805.7,3805.30249242,87.2732,1064.941,0.002838033430576074498005290383,1717257660001000000,0.0034,True,False,False,True,True,False,True,False
