symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,fill_id,order_id,market,side,quantity,price,reference_price,trade_id,fee_rate,liquidation,participation,recent_volume_quantity,partial,remaining_quantity,window_start,window_end,slippage_rate,execution_model,window_base_volume,window_quote_volume,max_volume_participation,capacity_used,fill_reason,source_file,window_end_utc,window_start_utc,participation_window_seconds,purpose,rounding_cost,source_run_id
BTCUSDT,conditional,True,1699804980000000000,2023-11-12T16:03:00.000000000Z,fill-conditional-00000141-1699804980000000000,conditional-00000141,spot,BUY,0.08109,37184.70,37180.97354879750431555282896,bar:BTCUSDT:spot:1699804920000000000,0.001,False,0.007985126729052213019429588789,8.27784000,False,0.00000,1699804920000000000,1699804980000000000,0.0001,next_minute_vwap,10.15513000,377577.61991460,0.01,0.08109,full,BTCUSDT-1m-2023-11.zip,2023-11-12T16:03:00.000000000Z,2023-11-12T16:02:00.000000000Z,60,open_spot,0.0006774135031760893262819784,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1699805040000000000,2023-11-12T16:04:00.000000000Z,fill-conditional-00000142-1699805040000000000,conditional-00000142,futures,SELL,0.081,37197.5,37201.26993074169907500658496,bar:BTCUSDT:futures:1699804980000000000,0.0005,False,0.001255016191258269936939309896,159.105,False,0.000,1699804980000000000,1699805040000000000,0.0001,next_minute_vwap,64.541,2401007.16260,0.01,0.081,full,BTCUSDT-1m-2023-11.zip,2023-11-12T16:04:00.000000000Z,2023-11-12T16:03:00.000000000Z,60,open_perp,0.00403410363861731302582830,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1701619500000000000,2023-12-03T16:05:00.000000000Z,fill-conditional-00000143-1701619500000000000,conditional-00000143,futures,BUY,0.005,39782.5,39778.46749106847562593358508,bar:BTCUSDT:futures:1701619440000000000,0.0005,False,0.000006057324092279698151425833518,1255.975,False,0.000,1701619440000000000,1701619500000000000,0.0001,next_minute_vwap,825.447,32835016.65510,0.01,0.005,full,BTCUSDT-1m-2023-12.zip,2023-12-03T16:05:00.000000000Z,2023-12-03T16:04:00.000000000Z,60,reduce_perp,0.00027331091208763251910780,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1701619560000000000,2023-12-03T16:06:00.000000000Z,fill-conditional-00000144-1701619560000000000,conditional-00000144,spot,SELL,0.00500,39751.38,39755.36269418127001490463403,bar:BTCUSDT:spot:1701619500000000000,0.001,False,0.00006437730663889687167491211210,69.50461000,False,0.00000,1701619500000000000,1701619560000000000,0.0001,next_minute_vwap,77.66712000,3087684.52501250,0.01,0.00500,full,BTCUSDT-1m-2023-12.zip,2023-12-03T16:06:00.000000000Z,2023-12-03T16:05:00.000000000Z,60,reduce_spot,0.0000357895592594395157178500,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1701965040000000000,2023-12-07T16:04:00.000000000Z,fill-conditional-00000145-1701965040000000000,conditional-00000145,futures,BUY,0.172,2330.45,2330.207680695270393532141219,bar:ETHUSDT:futures:1701964980000000000,0.0005,False,0.000008752452404087497045411234231,11287.949,False,0.000,1701964980000000000,1701965040000000000,0.0001,next_minute_vwap,19651.635,45792390.81522,0.01,0.172,full,ETHUSDT-1m-2023-12.zip,2023-12-07T16:04:00.000000000Z,2023-12-07T16:03:00.000000000Z,60,reduce_perp,0.001599348305533661702957524,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1701965100000000000,2023-12-07T16:05:00.000000000Z,fill-conditional-00000146-1701965100000000000,conditional-00000146,spot,SELL,0.1720,2327.97,2328.209925905017050280368303,bar:ETHUSDT:spot:1701965040000000000,0.001,False,0.0002907210134669748534774543319,2616.97210000,False,0.0000,1701965040000000000,1701965100000000000,0.0001,next_minute_vwap,591.63250000,1377444.65898800,0.01,0.1720,full,ETHUSDT-1m-2023-12.zip,2023-12-07T16:05:00.000000000Z,2023-12-07T16:04:00.000000000Z,60,reduce_spot,0.0012220449373663549585257520,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1702224300000000000,2023-12-10T16:05:00.000000000Z,fill-conditional-00000147-1702224300000000000,conditional-00000147,futures,BUY,0.007,43974.5,43970.04496247113163972286374,bar:BTCUSDT:futures:1702224240000000000,0.0005,False,0.0001443418013856812933025404157,60.425,False,0.000,1702224240000000000,1702224300000000000,0.0001,next_minute_vwap,48.496,2132371.30050,0.01,0.007,full,BTCUSDT-1m-2023-12.zip,2023-12-10T16:05:00.000000000Z,2023-12-10T16:04:00.000000000Z,60,reduce_perp,0.00040623122834872979214779,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1702224360000000000,2023-12-10T16:06:00.000000000Z,fill-conditional-00000148-1702224360000000000,conditional-00000148,spot,SELL,0.00700,43924.40,43928.79703571310943315239853,bar:BTCUSDT:spot:1702224300000000000,0.001,False,0.0003718566163385297639347954735,4.95026000,False,0.00000,1702224300000000000,1702224360000000000,0.0001,next_minute_vwap,18.82446000,826935.88264690,0.01,0.00700,full,BTCUSDT-1m-2023-12.zip,2023-12-10T16:06:00.000000000Z,2023-12-10T16:05:00.000000000Z,60,reduce_spot,0.0000290920667668554635830300,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1702829100000000000,2023-12-17T16:05:00.000000000Z,fill-conditional-00000149-1702829100000000000,conditional-00000149,spot,BUY,0.00300,41785.52,41781.33439292270243771177070,bar:BTCUSDT:spot:1702829040000000000,0.001,False,0.0001546477047960892688411164946,14.21815000,False,0.00000,1702829040000000000,1702829100000000000,0.0001,next_minute_vwap,19.39893000,810513.18119490,0.01,0.00300,full,BTCUSDT-1m-2023-12.zip,2023-12-17T16:05:00.000000000Z,2023-12-17T16:04:00.000000000Z,60,increase_spot,0.0000224209140158761333743600,run_ad71d751b20623006c195ff3
BTCUSDT,conditional,True,1702829160000000000,2023-12-17T16:06:00.000000000Z,fill-conditional-00000150-1702829160000000000,conditional-00000150,futures,SELL,0.003,41799.0,41803.18620419941896054178529,bar:BTCUSDT:futures:1702829100000000000,0.0005,False,0.00001457456834986737142801620692,89.749,False,0.000,1702829100000000000,1702829160000000000,0.0001,next_minute_vwap,205.838,8604684.24190,0.01,0.003,full,BTCUSDT-1m-2023-12.zip,2023-12-17T16:06:00.000000000Z,2023-12-17T16:05:00.000000000Z,60,increase_perp,0.00001765673699705593719333,run_ad71d751b20623006c195ff3
