symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,state,snapshot_kind,spot,short,average,collateral,spot_cost,realized_spot,realized_futures,funding,fees,liquidation_fees,slippage,spot_price,mark_price,dust_spot,tradable_spot,mark_available_at_utc,mark_close_time_ns_utc,spot_price_time_ns_utc,mark_age_seconds,mark_available_at,mark_close_time_ns,spot_price_age_seconds,spot_price_time_ns,source_run_id
ETHUSDT,permanent,False,1721347440000000000,2024-07-19T00:04:00.000000000Z,REBALANCING,event,1.0870039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3583.232466172243791375566777,757.6309684792437913755667754,-711.8145861046076029420933576,521.5298395168206000463,73.543480423,0,10.02310890406125171356416719,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721347500000000000,2024-07-19T00:05:00.000000000Z,HOLDING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,521.5298395168206000463,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721347500000000000,2024-07-19T00:05:00.000000000Z,HOLDING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,521.5298395168206000463,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1721433599999999999,2024-07-19T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,617.2665134019053700205,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721433599999999999,2024-07-19T23:59:59.999999999Z,HOLDING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,522.1358336345608000463,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1721519999999999999,2024-07-20T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,617.2831650493673644918,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721519999999999999,2024-07-20T23:59:59.999999999Z,HOLDING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,522.6903254163257000463,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1721606399999999999,2024-07-21T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,617.1980722310499405832,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721606399999999999,2024-07-21T23:59:59.999999999Z,HOLDING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,523.3128699152163498664,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1721692799999999999,2024-07-22T23:59:59.999999999Z,HOLDING,event,0.05100734,0.051,61524.68087017486565548326416,1569.922655167356052984033460,3134.659404518652080141445813,1551.004955678152080141445814,-1504.706624378918148429646479,617.8142839246779405832,71.2099678295,0,9.558864446554551537548028861,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1721692799999999999,2024-07-22T23:59:59.999999999Z,HOLDING,event,0.9730039,0.973,3298.137971330531966024761926,1604.679797983394981649404313,3207.439425187169319962157301,771.6449674941693199621572995,-711.8145861046076029420933576,524.0091603263703911371,73.933287463,0,10.06232784686433251892476144,,,,,,,,,,,,,run_dfea4b7ac1475668d5968c97
