symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,kind,cause,previous,state,order_id,cycle_id,next_expiry_utc,liquidation,next_expiry,purpose,source_run_id
ETHUSDT,permanent,False,1730148300000000000,2024-10-28T20:45:00.000000000Z,attempt_failed,timeout,,,permanent-00000576,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148360000000000,2024-10-28T20:46:00.000000000Z,attempt_failed,timeout,,,permanent-00000577,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148360000000000,2024-10-28T20:46:00.000000000Z,attempt_failed,timeout,,,permanent-00000578,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148420000000000,2024-10-28T20:47:00.000000000Z,attempt_failed,timeout,,,permanent-00000579,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148420000000000,2024-10-28T20:47:00.000000000Z,attempt_failed,timeout,,,permanent-00000580,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148480000000000,2024-10-28T20:48:00.000000000Z,attempt_failed,timeout,,,permanent-00000581,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148480000000000,2024-10-28T20:48:00.000000000Z,attempt_failed,timeout,,,permanent-00000582,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148540000000000,2024-10-28T20:49:00.000000000Z,attempt_failed,timeout,,,permanent-00000583,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148540000000000,2024-10-28T20:49:00.000000000Z,attempt_failed,timeout,,,permanent-00000584,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148600000000000,2024-10-28T20:50:00.000000000Z,attempt_failed,timeout,,,permanent-00000585,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148600000000000,2024-10-28T20:50:00.000000000Z,attempt_failed,timeout,,,permanent-00000586,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148660000000000,2024-10-28T20:51:00.000000000Z,attempt_failed,timeout,,,permanent-00000587,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148660000000000,2024-10-28T20:51:00.000000000Z,attempt_failed,timeout,,,permanent-00000588,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148720000000000,2024-10-28T20:52:00.000000000Z,attempt_failed,timeout,,,permanent-00000589,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148720000000000,2024-10-28T20:52:00.000000000Z,attempt_failed,timeout,,,permanent-00000590,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148780000000000,2024-10-28T20:53:00.000000000Z,attempt_failed,timeout,,,permanent-00000591,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148780000000000,2024-10-28T20:53:00.000000000Z,attempt_failed,timeout,,,permanent-00000592,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148840000000000,2024-10-28T20:54:00.000000000Z,attempt_failed,timeout,,,permanent-00000593,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148840000000000,2024-10-28T20:54:00.000000000Z,attempt_failed,timeout,,,permanent-00000594,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148900000000000,2024-10-28T20:55:00.000000000Z,attempt_failed,timeout,,,permanent-00000595,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148900000000000,2024-10-28T20:55:00.000000000Z,attempt_failed,timeout,,,permanent-00000596,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730148960000000000,2024-10-28T20:56:00.000000000Z,attempt_failed,timeout,,,permanent-00000597,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730148960000000000,2024-10-28T20:56:00.000000000Z,attempt_failed,timeout,,,permanent-00000598,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149020000000000,2024-10-28T20:57:00.000000000Z,attempt_failed,timeout,,,permanent-00000599,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149020000000000,2024-10-28T20:57:00.000000000Z,attempt_failed,timeout,,,permanent-00000600,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149080000000000,2024-10-28T20:58:00.000000000Z,attempt_failed,timeout,,,permanent-00000601,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149080000000000,2024-10-28T20:58:00.000000000Z,attempt_failed,timeout,,,permanent-00000602,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149140000000000,2024-10-28T20:59:00.000000000Z,attempt_failed,timeout,,,permanent-00000603,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149140000000000,2024-10-28T20:59:00.000000000Z,attempt_failed,timeout,,,permanent-00000604,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149200000000000,2024-10-28T21:00:00.000000000Z,attempt_failed,timeout,,,permanent-00000605,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149200000000000,2024-10-28T21:00:00.000000000Z,attempt_failed,timeout,,,permanent-00000606,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149260000000000,2024-10-28T21:01:00.000000000Z,attempt_failed,timeout,,,permanent-00000607,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149260000000000,2024-10-28T21:01:00.000000000Z,attempt_failed,timeout,,,permanent-00000608,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149320000000000,2024-10-28T21:02:00.000000000Z,attempt_failed,timeout,,,permanent-00000609,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149320000000000,2024-10-28T21:02:00.000000000Z,attempt_failed,timeout,,,permanent-00000610,,,,,close_perp,run_dfea4b7ac1475668d5968c97
BTCUSDT,permanent,False,1730149380000000000,2024-10-28T21:03:00.000000000Z,attempt_failed,timeout,,,permanent-00000611,,,,,close_perp,run_dfea4b7ac1475668d5968c97
ETHUSDT,permanent,False,1730149380000000000,2024-10-28T21:03:00.000000000Z,attempt_failed,timeout,,,permanent-00000612,,,,,close_perp,run_dfea4b7ac1475668d5968c97
