symbol,market,open_time,end_time,available_at,open,high,low,close,base_volume,quote_volume,trade_count,source_file,open_time_utc,source_partition
ETHUSDT,futures,1679661180000000000,1679661240000000000,1679661240000000000,1763.23,1765.87,1763.23,1764.14,4370.999,7712784.37513,4416,ETHUSDT-1m-2023-03.zip,2023-03-24T12:33:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679661180000000000,1679661240000000000,1679661240000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:33:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661240000000000,1679661300000000000,1679661300000000000,27913.70,27913.80,27897.70,27897.70,322.184,8989988.42230,2132,BTCUSDT-1m-2023-03.zip,2023-03-24T12:34:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679661240000000000,1679661300000000000,1679661300000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:34:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661240000000000,1679661300000000000,1679661300000000000,1764.14,1764.64,1762.22,1762.23,7734.557,13640782.36518,4016,ETHUSDT-1m-2023-03.zip,2023-03-24T12:34:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679661240000000000,1679661300000000000,1679661300000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:34:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661300000000000,1679661360000000000,1679661360000000000,27897.70,27949.60,27897.70,27901.40,702.561,19614696.69840,5230,BTCUSDT-1m-2023-03.zip,2023-03-24T12:35:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
BTCUSDT,spot,1679661300000000000,1679661360000000000,1679661360000000000,28080.00000000,28080.00000000,28080.00000000,28080.00000000,0.00000000,0.00000000,0,BTCUSDT-1m-2023-03.zip,2023-03-24T12:35:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=spot/month=2023-03/part-00000.parquet
ETHUSDT,futures,1679661300000000000,1679661360000000000,1679661360000000000,1762.22,1766.37,1762.22,1764.03,4296.595,7583485.00274,4920,ETHUSDT-1m-2023-03.zip,2023-03-24T12:35:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=futures/month=2023-03/part-00000.parquet
ETHUSDT,spot,1679661300000000000,1679661360000000000,1679661360000000000,1789.52000000,1789.52000000,1789.52000000,1789.52000000,0.00000000,0.00000000,0,ETHUSDT-1m-2023-03.zip,2023-03-24T12:35:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=ETHUSDT/market=spot/month=2023-03/part-00000.parquet
BTCUSDT,futures,1679661360000000000,1679661420000000000,1679661420000000000,27901.40,27950.00,27897.70,27944.00,568.783,15885189.77690,5223,BTCUSDT-1m-2023-03.zip,2023-03-24T12:36:00.000000000Z,data/minutes/2022_2026_continuous/processed/dataset=minute_bars/symbol=BTCUSDT/market=futures/month=2023-03/part-00000.parquet
