available_at,economic_window,funding_rate,funding_time,interval_hours,interval_verified,settlement_mark_available_at,settlement_mark_close_time,settlement_mark_method,settlement_mark_price,settlement_mark_proxy_base,settlement_mark_source_file,settlement_mark_stress_bps,source_file,symbol
1743350460000000000,True,0.00004588,1743350400000000000,8,True,,,exact,82699.90000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743350460000000000,True,0.00001191,1743350400000000000,8,True,,,exact,1812.82000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743379260000000000,True,0.00002643,1743379200000000000,8,True,,,exact,82345.30000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743379260000000000,True,-0.00000326,1743379200000000000,8,True,,,exact,1807.00000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743408060000000000,True,0.00006020,1743408000000000000,8,True,,,exact,81895.20000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743408060000000000,True,0.00002663,1743408000000000000,8,True,,,exact,1798.05000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743436860000000000,True,0.00001845,1743436800000000000,8,True,,,exact,83373.40000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743436860000000000,True,0.00002009,1743436800000000000,8,True,,,exact,1841.39123016,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743465660000000000,True,0.00003961,1743465600000000000,8,True,,,exact,82517.67674815,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743465660000000000,True,-0.00000652,1743465600000000000,8,True,,,exact,1821.59000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743494460001000000,True,0.00002889,1743494400001000000,8.000000277777777777777777778,True,,,exact,83415.20000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743494460001000000,True,0.00002877,1743494400001000000,8.000000277777777777777777778,True,,,exact,1853.39356349,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743523260000000000,True,0.00003573,1743523200000000000,7.999999722222222222222222222,True,,,exact,85245.40000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743523260000000000,True,0.00003314,1743523200000000000,7.999999722222222222222222222,True,,,exact,1917.90000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743552060001000000,True,-0.00002112,1743552000001000000,8.000000277777777777777777778,True,,,exact,85120.90000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743552060001000000,True,0.00003676,1743552000001000000,8.000000277777777777777777778,True,,,exact,1904.20000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743580860000000000,True,0.00003036,1743580800000000000,7.999999722222222222222222222,True,,,exact,84393.10059259,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743580860000000000,True,-4.5E-7,1743580800000000000,7.999999722222222222222222222,True,,,exact,1864.30988889,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743609660000000000,True,0.00000733,1743609600000000000,8,True,,,exact,86716.90000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743609660000000000,True,0.00004262,1743609600000000000,8,True,,,exact,1900.10000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743638460000000000,True,0.00005862,1743638400000000000,8,True,,,exact,82485.00000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743638460000000000,True,-0.00000639,1743638400000000000,8,True,,,exact,1794.26434127,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743667260000000000,True,0.00005038,1743667200000000000,8,True,,,exact,83423.97282759,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743667260000000000,True,0.00006390,1743667200000000000,8,True,,,exact,1814.69311987,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743696060000000000,True,0.00006484,1743696000000000000,8,True,,,exact,82009.80792337,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743696060000000000,True,-0.00000615,1743696000000000000,8,True,,,exact,1781.23825944,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743724860000000000,True,0.00004283,1743724800000000000,8,True,,,exact,83168.70000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743724860000000000,True,0.00006701,1743724800000000000,8,True,,,exact,1816.30000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743753660000000000,True,0.00004736,1743753600000000000,8,True,,,exact,83968.10000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743753660000000000,True,-0.00002093,1743753600000000000,8,True,,,exact,1816.87000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743782460000000000,True,0.00008038,1743782400000000000,8,True,,,exact,82822.00000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743782460000000000,True,0.00003780,1743782400000000000,8,True,,,exact,1794.47000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743811260000000000,True,0.00008559,1743811200000000000,8,True,,,exact,83861.30000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743811260000000000,True,0.00002181,1743811200000000000,8,True,,,exact,1816.18508730,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743840060000000000,True,0.00007437,1743840000000000000,8,True,,,exact,83490.00000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743840060000000000,True,0.00005939,1743840000000000000,8,True,,,exact,1812.40000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743868860000000000,True,0.00000408,1743868800000000000,8,True,,,exact,82582.45056296,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743868860000000000,True,-0.00000782,1743868800000000000,8,True,,,exact,1781.10160317,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743897660000000000,True,0.00000221,1743897600000000000,8,True,,,exact,83501.91631852,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743897660000000000,True,0.00002389,1743897600000000000,8,True,,,exact,1805.04000000,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743926460000000000,True,0.00005363,1743926400000000000,8,True,,,exact,82990.90000000,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
1743926460000000000,True,0.00005410,1743926400000000000,8,True,,,exact,1796.86100794,,,0,funding-1638403200000-1788220799999.json,ETHUSDT
1743955260002000000,True,-0.00000603,1743955200002000000,8.000000555555555555555555556,True,,,exact,82503.61944061,,,0,funding-1638403200000-1788220799999.json,BTCUSDT
