symbol,strategy,funding_filter_enabled,time_ns,timestamp_utc,kind,cause,previous,state,order_id,cycle_id,next_expiry_utc,liquidation,next_expiry,purpose,source_run_id
ETHUSDT,conditional,True,1679661540000000000,2023-03-24T12:39:00.000000000Z,attempt_failed,timeout,,,conditional-00000056,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661600000000000,2023-03-24T12:40:00.000000000Z,attempt_failed,timeout,,,conditional-00000057,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661660000000000,2023-03-24T12:41:00.000000000Z,attempt_failed,timeout,,,conditional-00000058,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661720000000000,2023-03-24T12:42:00.000000000Z,attempt_failed,timeout,,,conditional-00000059,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661780000000000,2023-03-24T12:43:00.000000000Z,attempt_failed,timeout,,,conditional-00000060,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661840000000000,2023-03-24T12:44:00.000000000Z,attempt_failed,timeout,,,conditional-00000061,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661900000000000,2023-03-24T12:45:00.000000000Z,attempt_failed,timeout,,,conditional-00000062,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679661960000000000,2023-03-24T12:46:00.000000000Z,attempt_failed,timeout,,,conditional-00000063,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662020000000000,2023-03-24T12:47:00.000000000Z,attempt_failed,timeout,,,conditional-00000064,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662080000000000,2023-03-24T12:48:00.000000000Z,attempt_failed,timeout,,,conditional-00000065,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662140000000000,2023-03-24T12:49:00.000000000Z,attempt_failed,timeout,,,conditional-00000066,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662200000000000,2023-03-24T12:50:00.000000000Z,attempt_failed,timeout,,,conditional-00000067,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662260000000000,2023-03-24T12:51:00.000000000Z,attempt_failed,timeout,,,conditional-00000068,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662320000000000,2023-03-24T12:52:00.000000000Z,attempt_failed,timeout,,,conditional-00000069,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662380000000000,2023-03-24T12:53:00.000000000Z,attempt_failed,timeout,,,conditional-00000070,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662440000000000,2023-03-24T12:54:00.000000000Z,attempt_failed,timeout,,,conditional-00000071,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662500000000000,2023-03-24T12:55:00.000000000Z,attempt_failed,timeout,,,conditional-00000072,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662560000000000,2023-03-24T12:56:00.000000000Z,attempt_failed,timeout,,,conditional-00000073,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662620000000000,2023-03-24T12:57:00.000000000Z,attempt_failed,timeout,,,conditional-00000074,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662680000000000,2023-03-24T12:58:00.000000000Z,attempt_failed,timeout,,,conditional-00000075,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662740000000000,2023-03-24T12:59:00.000000000Z,attempt_failed,timeout,,,conditional-00000076,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662800000000000,2023-03-24T13:00:00.000000000Z,attempt_failed,timeout,,,conditional-00000077,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662860000000000,2023-03-24T13:01:00.000000000Z,attempt_failed,timeout,,,conditional-00000078,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662920000000000,2023-03-24T13:02:00.000000000Z,attempt_failed,timeout,,,conditional-00000079,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679662980000000000,2023-03-24T13:03:00.000000000Z,attempt_failed,timeout,,,conditional-00000080,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679663040000000000,2023-03-24T13:04:00.000000000Z,attempt_failed,timeout,,,conditional-00000081,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679663100000000000,2023-03-24T13:05:00.000000000Z,attempt_failed,timeout,,,conditional-00000082,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679663160000000000,2023-03-24T13:06:00.000000000Z,attempt_failed,timeout,,,conditional-00000083,,,,,close_spot,run_ad71d751b20623006c195ff3
ETHUSDT,conditional,True,1679663220000000000,2023-03-24T13:07:00.000000000Z,attempt_failed,timeout,,,conditional-00000084,,,,,close_spot,run_ad71d751b20623006c195ff3
