scenario,period,conditional_run_id,conditional_start_utc,conditional_end_exclusive_utc,permanent_run_id,permanent_start_utc,permanent_end_exclusive_utc,start_utc,end_exclusive_utc,conditional_cagr,conditional_sharpe,permanent_sharpe,sharpe_difference,cagr_positive,sharpe_superior,verdict,reason
BTC_PROMO_REALIZADA,full,run_1ae1cf88ac71b976740edc03,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_d3ebbfeb6f98be343782ccbb,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.016334619265710986,4.9623712776540545,6.543972219536645,-1.5816009418825905,True,False,no_favorable,sharpe_not_superior
FUT4_DECISION,2022,run_8f497f6f609b074f796e043f,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,run_9a4b6b4c853215594e14bd86,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,0.0,,2.6711978181368212,,False,,no_concluyente,undefined_or_nonfinite_conditional_sharpe (zero sample volatility)
FUT4_DECISION,2022-2023,run_8f497f6f609b074f796e043f,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_9a4b6b4c853215594e14bd86,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.012869987946455379,2.342352391410027,4.641735548336052,-2.299383156926025,True,False,no_favorable,sharpe_not_superior
FUT4_DECISION,2023,run_8f497f6f609b074f796e043f,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_9a4b6b4c853215594e14bd86,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.025905612482652666,3.335512723167797,6.090942557660193,-2.755429834492396,True,False,no_favorable,sharpe_not_superior
FUT4_DECISION,2024,run_8f497f6f609b074f796e043f,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,run_9a4b6b4c853215594e14bd86,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,0.050044681199744964,9.153346656967534,12.055097605375256,-2.901750948407722,True,False,no_favorable,sharpe_not_superior
FUT4_DECISION,2024+,run_8f497f6f609b074f796e043f,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_9a4b6b4c853215594e14bd86,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.0197299082599833,5.545454828228644,9.784214826893066,-4.238759998664422,True,False,no_favorable,sharpe_not_superior
FUT4_DECISION,2025,run_8f497f6f609b074f796e043f,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,run_9a4b6b4c853215594e14bd86,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,0.0031795864257169178,3.4598760298703,13.90101532878685,-10.44113929891655,True,False,no_favorable,sharpe_not_superior
FUT4_DECISION,2026,run_8f497f6f609b074f796e043f,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_9a4b6b4c853215594e14bd86,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,-0.000006866465720940641,-0.5307504792828094,6.356657688593785,-6.8874081678765944,False,False,no_favorable,cagr_not_positive; sharpe_not_superior
FUT4_DECISION,full,run_8f497f6f609b074f796e043f,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_9a4b6b4c853215594e14bd86,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.016785422410500392,3.7323075336031555,6.594886333890124,-2.8625788002869685,True,False,no_favorable,sharpe_not_superior
FUT4_REALIZADA,2022,run_d17c6848d9a0c5c85249b152,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,run_edc965655c124abd4318e838,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,0.0,,2.6711978181368212,,False,,no_concluyente,undefined_or_nonfinite_conditional_sharpe (zero sample volatility)
FUT4_REALIZADA,2022-2023,run_d17c6848d9a0c5c85249b152,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_edc965655c124abd4318e838,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.010890118702890568,3.348189061662881,4.641735548336052,-1.293546486673171,True,False,no_favorable,sharpe_not_superior
FUT4_REALIZADA,2023,run_d17c6848d9a0c5c85249b152,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_edc965655c124abd4318e838,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.021898832091144182,4.806292726913019,6.090942557660193,-1.284649830747174,True,False,no_favorable,sharpe_not_superior
FUT4_REALIZADA,2024,run_d17c6848d9a0c5c85249b152,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,run_edc965655c124abd4318e838,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,0.05273093058954009,10.626804549058788,12.055097605375256,-1.428293056316468,True,False,no_favorable,sharpe_not_superior
FUT4_REALIZADA,2024+,run_d17c6848d9a0c5c85249b152,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_edc965655c124abd4318e838,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.020702240696678004,6.2736112896607095,9.784214826893066,-3.5106035372323565,True,False,no_favorable,sharpe_not_superior
FUT4_REALIZADA,2025,run_d17c6848d9a0c5c85249b152,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,run_edc965655c124abd4318e838,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,0.0031644276361406654,3.439116921134169,13.90101532878685,-10.461898407652681,True,False,no_favorable,sharpe_not_superior
FUT4_REALIZADA,2026,run_d17c6848d9a0c5c85249b152,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_edc965655c124abd4318e838,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,-0.000012270939156847752,-0.4351627319185528,6.356657688593785,-6.7918204205123378,False,False,no_favorable,cagr_not_positive; sharpe_not_superior
FUT4_REALIZADA,full,run_d17c6848d9a0c5c85249b152,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_edc965655c124abd4318e838,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.01648708339087119,5.013681786321673,6.594886333890124,-1.581204547568451,True,False,no_favorable,sharpe_not_superior
MARGEN_2X,2022,run_70383794701c4f0fc157b2ed,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,run_3f5d9cce8ff1c2ba5447e3b6,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,0.0,,2.621727629634954,,False,,no_concluyente,undefined_or_nonfinite_conditional_sharpe (zero sample volatility)
MARGEN_2X,2022-2023,run_70383794701c4f0fc157b2ed,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_3f5d9cce8ff1c2ba5447e3b6,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.010813568916779457,3.3374368352976136,4.616517824854036,-1.2790809895564224,True,False,no_favorable,sharpe_not_superior
MARGEN_2X,2023,run_70383794701c4f0fc157b2ed,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,run_3f5d9cce8ff1c2ba5447e3b6,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2023-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,0.021744071106276852,4.790370676993327,6.076624589697891,-1.286253912704564,True,False,no_favorable,sharpe_not_superior
MARGEN_2X,2024,run_70383794701c4f0fc157b2ed,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,run_3f5d9cce8ff1c2ba5447e3b6,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,0.046850840682761595,8.385878841971216,11.158422464120378,-2.772543622149162,True,False,no_favorable,sharpe_not_superior
MARGEN_2X,2024+,run_70383794701c4f0fc157b2ed,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_3f5d9cce8ff1c2ba5447e3b6,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2024-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.01735169613561906,4.859502820322256,9.414667657874979,-4.555164837552723,True,False,no_favorable,sharpe_not_superior
MARGEN_2X,2025,run_70383794701c4f0fc157b2ed,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,run_3f5d9cce8ff1c2ba5447e3b6,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2025-01-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,-0.000002492670255982432,-0.15961199416560182,13.907810967989,-14.06742296215460182,False,False,no_favorable,cagr_not_positive; sharpe_not_superior
MARGEN_2X,2026,run_70383794701c4f0fc157b2ed,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_3f5d9cce8ff1c2ba5447e3b6,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2026-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,-0.000005490060011612712,-0.4572584634603321,6.363119411095411,-6.8203778745557431,False,False,no_favorable,cagr_not_positive; sharpe_not_superior
MARGEN_2X,full,run_70383794701c4f0fc157b2ed,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,run_3f5d9cce8ff1c2ba5447e3b6,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,2022-01-01T00:00:00.000000000Z,2026-09-01T00:00:00.000000000Z,0.014545575926453112,4.233782404690964,6.39911129023173,-2.165328885540766,True,False,no_favorable,sharpe_not_superior
