scenario,strategy,run_id,period,symbol,observations,excluded,exclusion_reasons,weight,mae_ewma,mae_no_change
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024+,BTCUSDT,2900,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0005322677710137530043129477738,0.0007205321917310333787663206483
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024+,ETHUSDT,2900,22,"{""funding_calendar_boundary_unverified"": 1, ""horizon_outside_sample"": 21}",0.5,0.0005636172081710850314383289145,0.0007825306440811964332710362172
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024+,EQUAL_WEIGHT,5800,44,see asset rows,1,0.000547942489592419017875638344,0.000751531417906114906018678433
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022,BTCUSDT,1095,0,{},0.5,0.0007383722695559857529445662100,0.001065118819929190527881362311
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022,ETHUSDT,1095,0,{},0.5,0.001093934867927324822638273973,0.001552108900476259518368493151
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2022,EQUAL_WEIGHT,2190,0,see asset rows,1,0.0009161535687416552877914200915,0.001308613860202725023124927731
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2023,BTCUSDT,1095,0,{},0.5,0.0005195349185930932596144748858,0.0006912776846011798197630646849
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2023,ETHUSDT,1095,0,{},0.5,0.0006018500393778490718056508528,0.0008020879179898766035239775525
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2023,EQUAL_WEIGHT,2190,0,see asset rows,1,0.0005606924789854711657100628695,0.0007466828012955282116435211185
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024,BTCUSDT,1098,0,{},0.5,0.0007620327403636963496922300035,0.0009242768300233504932302574863
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024,ETHUSDT,1098,0,{},0.5,0.0007437248359846636040328086079,0.0009062940543107856617976401093
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2024,EQUAL_WEIGHT,2196,0,see asset rows,1,0.0007528787881741799768625193055,0.000915285442167068077513948798
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2025,BTCUSDT,1095,0,{},0.5,0.0003860384595015694309513059361,0.0005907157733543660221194585936
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2025,ETHUSDT,1095,0,{},0.5,0.0004355696043538309442595068493,0.0006638013312051614003555216347
BTC_PROMO_DECISION,permanent,run_a45c9456ea5d541c9ddce187,2025,EQUAL_WEIGHT,2190,0,see asset rows,1,0.0004108040319277001876054063927,0.000627258552279763711237490114
