scenario,strategy,run_id,period,symbol,covered_seconds,unhedged_seconds,dust_seconds,flat_seconds,invested_seconds,raw_invested_seconds,raw_unhedged_seconds,dust_only_seconds,no_active_seconds,no_inventory_seconds,calendar_seconds,cash_seconds,covered_fraction,unhedged_fraction,dust_fraction,flat_fraction,invested_fraction,raw_invested_fraction,raw_unhedged_fraction,dust_only_fraction,no_active_fraction,no_inventory_fraction,cash_fraction,both_covered_seconds,any_covered_seconds,any_unhedged_seconds,cash_or_dust_seconds,both_covered_fraction,any_covered_fraction,any_unhedged_fraction,cash_or_dust_fraction
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,ETHUSDT,0,0,0,31536000.000000000,0E-9,0E-9,0E-9,0E-9,31536000.000000000,31536000.000000000,31536000,31536000.000000000,0,0,0,1.000000000,0E-9,0E-9,0E-9,0E-9,1.000000000,1.000000000,1.000000000,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022,PORTFOLIO,0E-9,0E-9,0E-9,,0E-9,0E-9,0E-9,0E-9,31536000.000000000,31536000.000000000,31536000,31536000.000000000,0E-9,0E-9,0E-9,,0E-9,0E-9,0E-9,0E-9,1.000000000,1.000000000,1.000000000,0E-9,0E-9,0E-9,31536000.000000000,0E-9,0E-9,0E-9,1.000000000
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,BTCUSDT,4261980.000000000,240,0,27273780.000000000,4262220.000000000,4262220.000000000,240.000000000,0E-9,27273780.000000000,27273780.000000000,31536000,27273780.000000000,0.1351464992389649923896499239,0.000007610350076103500761035007610,0,0.8648458904109589041095890411,0.1351541095890410958904109589,0.1351541095890410958904109589,0.000007610350076103500761035007610,0E-9,0.8648458904109589041095890411,0.8648458904109589041095890411,0.8648458904109589041095890411,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,ETHUSDT,10381620.000000000,7860,19994340.000000000,1152180.000000000,10389480.000000000,30383820.000000000,20002200.000000000,19994340.000000000,21146520.000000000,1152180.000000000,31536000,1152180.000000000,0.3291990106544901065449010654,0.0002492389649923896499238964992,0.6340163622526636225266362253,0.03653538812785388127853881279,0.3294482496194824961948249619,0.9634646118721461187214611872,0.6342656012176560121765601218,0.6340163622526636225266362253,0.6705517503805175038051750381,0.03653538812785388127853881279,0.03653538812785388127853881279,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2023,PORTFOLIO,10381680.000000000,8100.000000000,19994340.000000000,,10389480.000000000,30383820.000000000,20002440.000000000,19994340.000000000,21146520.000000000,1152180.000000000,31536000,1152180.000000000,0.3292009132420091324200913242,0.0002568493150684931506849315068,0.6340163622526636225266362253,,0.3294482496194824961948249619,0.9634646118721461187214611872,0.6342732115677321156773211568,0.6340163622526636225266362253,0.6705517503805175038051750381,0.03653538812785388127853881279,0.03653538812785388127853881279,4261920.000000000,10381680.000000000,8100.000000000,21146520.000000000,0.1351445966514459665144596651,0.3292009132420091324200913242,0.0002568493150684931506849315068,0.6705517503805175038051750381
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024,BTCUSDT,19716960.000000000,1200,11904240.000000000,0,19718160.000000000,31622400.000000000,11905440.000000000,11904240.000000000,11904240.000000000,0E-9,31622400,0E-9,0.6235124468731026108075288403,0.00003794778384942319368548876746,0.3764496053430479659987856709,0,0.6235503946569520340012143291,1.000000000,0.3764875531268973891924711597,0.3764496053430479659987856709,0.3764496053430479659987856709,0E-9,0E-9,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024,ETHUSDT,19986960.000000000,1320,11634120.000000000,0,19988280.000000000,31622400.000000000,11635440.000000000,11634120.000000000,11634120.000000000,0E-9,31622400,0E-9,0.6320506982392228293867638130,0.00004174256223436551305403764420,0.3679075591985428051001821494,0,0.6320924408014571948998178506,1.000000000,0.3679493017607771706132361870,0.3679075591985428051001821494,0.3679075591985428051001821494,0E-9,0E-9,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2024,PORTFOLIO,21192120.000000000,2460.000000000,13108380.000000000,,21192420.000000000,31622400.000000000,13110600.000000000,10429980.000000000,10429980.000000000,0E-9,31622400,0E-9,0.6701616575591985428051001821,0.00007779295689131754705525197328,0.4145283090467516697024893746,,0.6701711445051608986035215543,1.000000000,0.4145985124468731026108075288,0.3298288554948391013964784457,0.3298288554948391013964784457,0E-9,0E-9,18511800.000000000,21192120.000000000,2460.000000000,10429980.000000000,0.5854014875531268973891924712,0.6701616575591985428051001821,0.00007779295689131754705525197328,0.3298288554948391013964784457
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2025,BTCUSDT,0,0,31536000.000000000,0,0E-9,31536000.000000000,31536000.000000000,31536000.000000000,31536000.000000000,0E-9,31536000,0E-9,0,0,1.000000000,0,0E-9,1.000000000,1.000000000,1.000000000,1.000000000,0E-9,0E-9,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2025,ETHUSDT,10108440.000000000,780,21426780.000000000,0,10109220.000000000,31536000.000000000,21427560.000000000,21426780.000000000,21426780.000000000,0E-9,31536000,0E-9,0.3205365296803652968036529680,0.00002473363774733637747336377473,0.6794387366818873668188736682,0,0.3205612633181126331811263318,1.000000000,0.6794634703196347031963470320,0.6794387366818873668188736682,0.6794387366818873668188736682,0E-9,0E-9,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2025,PORTFOLIO,10108440.000000000,780.000000000,31536000.000000000,,10109220.000000000,31536000.000000000,31536000.000000000,21426780.000000000,21426780.000000000,0E-9,31536000,0E-9,0.3205365296803652968036529680,0.00002473363774733637747336377473,1.000000000,,0.3205612633181126331811263318,1.000000000,1.000000000,0.6794387366818873668188736682,0.6794387366818873668188736682,0E-9,0E-9,0E-9,10108440.000000000,780.000000000,21426780.000000000,0E-9,0.3205365296803652968036529680,0.00002473363774733637747336377473,0.6794387366818873668188736682
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2026,BTCUSDT,0,0,20995200.000000000,0,0E-9,20995200.000000000,20995200.000000000,20995200.000000000,20995200.000000000,0E-9,20995200,0E-9,0,0,1.000000000,0,0E-9,1.000000000,1.000000000,1.000000000,1.000000000,0E-9,0E-9,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2026,ETHUSDT,0,0,20995200.000000000,0,0E-9,20995200.000000000,20995200.000000000,20995200.000000000,20995200.000000000,0E-9,20995200,0E-9,0,0,1.000000000,0,0E-9,1.000000000,1.000000000,1.000000000,1.000000000,0E-9,0E-9,,,,,,,,
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2026,PORTFOLIO,0E-9,0E-9,20995200.000000000,,0E-9,20995200.000000000,20995200.000000000,20995200.000000000,20995200.000000000,0E-9,20995200,0E-9,0E-9,0E-9,1.000000000,,0E-9,1.000000000,1.000000000,1.000000000,1.000000000,0E-9,0E-9,0E-9,0E-9,0E-9,20995200.000000000,0E-9,0E-9,0E-9,1.000000000
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,full,BTCUSDT,144268680.000000000,11820,2685780.000000000,259320.000000000,144280500.000000000,146966280.000000000,2697600.000000000,2685780.000000000,2945100.000000000,259320.000000000,147225600,259320.000000000,0.9799157211789254042775169536,0.00008028495044340114762649973918,0.01824261541471048513302034429,0.001761378455920709441836202400,0.9799960061293688054251434533,0.9982386215440792905581637976,0.01832290036515388628064684403,0.01824261541471048513302034429,0.02000399387063119457485654669,0.001761378455920709441836202400,0.001761378455920709441836202400,,,,,,,,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,full,ETHUSDT,138972960.000000000,12660,7865400.000000000,374580.000000000,138985620.000000000,146851020.000000000,7878060.000000000,7865400.000000000,8239980.000000000,374580.000000000,147225600,374580.000000000,0.9439456181533646322378716745,0.00008599047991653625456442357851,0.05342413275952008346374543558,0.002544258607198748043818466354,0.9440316086332811684924360981,0.9974557413928012519561815336,0.05351012323943661971830985915,0.05342413275952008346374543558,0.05596839136671883150756390193,0.002544258607198748043818466354,0.002544258607198748043818466354,,,,,,,,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,full,PORTFOLIO,144579240.000000000,16440.000000000,8172720.000000000,,144587820.000000000,146966280.000000000,8188680.000000000,2378460.000000000,2637780.000000000,259320.000000000,147225600,259320.000000000,0.9820251369327073552425665102,0.0001116653625456442357850808555,0.05551154147104851330203442879,,0.9820834148408972352634324465,0.9982386215440792905581637976,0.05561994653103808033385498174,0.01615520670318205529473135107,0.01791658515910276473656755347,0.001761378455920709441836202400,0.001761378455920709441836202400,138662400.000000000,144579240.000000000,16440.000000000,2637780.000000000,0.9418362023995826812728221179,0.9820251369327073552425665102,0.0001116653625456442357850808555,0.01791658515910276473656755347
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2022-2023,BTCUSDT,60614760.000000000,9060,2188860.000000000,259320.000000000,60623820.000000000,62812680.000000000,2197920.000000000,2188860.000000000,2448180.000000000,259320.000000000,63072000,259320.000000000,0.9610407153729071537290715373,0.0001436453576864535768645357686,0.03470414764079147640791476408,0.004111491628614916286149162861,0.9611843607305936073059360731,0.9958885083713850837138508371,0.03484779299847792998477929985,0.03470414764079147640791476408,0.03881563926940639269406392694,0.004111491628614916286149162861,0.004111491628614916286149162861,,,,,,,,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2022-2023,ETHUSDT,55775940.000000000,9240,6912240.000000000,374580.000000000,55785180.000000000,62697420.000000000,6921480.000000000,6912240.000000000,7286820.000000000,374580.000000000,63072000,374580.000000000,0.8843217275494672754946727549,0.0001464992389649923896499238965,0.1095928462709284627092846271,0.005938926940639269406392694064,0.8844682267884322678843226788,0.9940610730593607305936073059,0.1097393455098934550989345510,0.1095928462709284627092846271,0.1155317732115677321156773212,0.005938926940639269406392694064,0.005938926940639269406392694064,,,,,,,,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2022-2023,PORTFOLIO,60728280.000000000,10680.000000000,7024680.000000000,,60736260.000000000,62812680.000000000,7035060.000000000,2076420.000000000,2335740.000000000,259320.000000000,63072000,259320.000000000,0.9628405631659056316590563166,0.0001693302891933028919330289193,0.1113755707762557077625570776,,0.9629670852359208523592085236,0.9958885083713850837138508371,0.1115401445966514459665144597,0.03292142313546423135464231355,0.03703291476407914764079147641,0.004111491628614916286149162861,0.004111491628614916286149162861,55662420.000000000,60728280.000000000,10680.000000000,2335740.000000000,0.8825218797564687975646879756,0.9628405631659056316590563166,0.0001693302891933028919330289193,0.03703291476407914764079147641
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2024+,BTCUSDT,83653920.000000000,2760,496920.000000000,0,83656680.000000000,84153600.000000000,499680.000000000,496920.000000000,496920.000000000,0E-9,84153600,0E-9,0.9940622861054072553045859001,0.00003279717088751996349532283824,0.005904916723705224731918777093,0,0.9940950832762947752680812229,1.000000000,0.005937713894592744695414099932,0.005904916723705224731918777093,0.005904916723705224731918777093,0E-9,0E-9,,,,,,,,
BASE_E3,permanent,run_dfea4b7ac1475668d5968c97,2024+,ETHUSDT,83197020.000000000,3420,953160.000000000,0,83200440.000000000,84153600.000000000,956580.000000000,953160.000000000,953160.000000000,0E-9,84153600,0E-9,0.9886329283595710700433493041,0.00004063997262149212867898699521,0.01132643166780743782797170888,0,0.9886735683321925621720282911,1.000000000,0.01136707164042892995665069587,0.01132643166780743782797170888,0.01132643166780743782797170888,0E-9,0E-9,,,,,,,,
