scenario,strategy,run_id,period,symbol,spot_pnl_usdt,futures_pnl_usdt,funding_usdt,fees_usdt,liquidation_fees_usdt,slippage_informational_usdt,spot_realized_pnl_usdt,spot_unrealized_pnl_usdt,futures_realized_pnl_usdt,futures_unrealized_pnl_usdt,net_pnl_usdt
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2023,ETHUSDT,872.3856655829999999999999997,-826.5389714784599999999999989,130.5236521762044512580,-22.238398696,0,2.855772292787483885448397940,560.6324845934466274456304127,311.753180989553372554369587,-520.5288499999999999999999989,-306.0101214784600000000000000,154.1319475847444512580000008
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024,BTCUSDT,2123.357582769400000000000000,-2115.228573106480000000000000,284.4533188468455053431,-39.7124435904,0,5.317557080558326651012140273,2476.437642802128693471417312,-353.080060032728693471417312,-2469.636700000000000000000000,354.4081268935199999999999998,252.8698849193655053430999998
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2024,ETHUSDT,560.949959936000000000000000,-561.7596751779500000000000003,319.5147526755286076165,-36.448661955,0,4.943641414590851205575680363,737.384127825147330547224474,-176.434167889147330547224474,-735.422389999999999999999999,173.6627148220500000000000002,282.2563754785786076165000010
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2025,BTCUSDT,-0.046107721800000000000000,0E-24,0E-19,0E-10,0,0E-27,0E-24,-0.046107721800000000000000,0E-24,0E-11,-0.046107721800000000000000
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2025,ETHUSDT,-1758.558377846000000000000000,1756.811356656409999999999999,46.1065554930436998107,-11.028667972,0,1.496137312599801459975309226,-1623.254566240875707915837725,-135.303811605124292084162275,1624.463949999999999999999999,132.3474066564100000000000000,33.33086633145369981069999933
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2026,BTCUSDT,-0.070270918200000000000000,0E-24,0E-19,0E-10,0,0E-27,0E-24,-0.070270918200000000000000,0E-24,0E-11,-0.070270918200000000000000
BTC_PROMO_REALIZADA,conditional,run_1ae1cf88ac71b976740edc03,2026,ETHUSDT,-0.018409505000000000000000,0E-24,0E-19,0E-9,0,0E-27,0E-24,-0.018409505000000000000000,0E-24,0E-11,-0.018409505000000000000000
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,full,BTCUSDT,4119.281752114300000000000000,-4086.789999999999999999999999,427.6483109491567219389,-55.5225958143,0,8.986087617266386628748948274,4119.294098036668050946110195,-0.012345922368050946110195,-4086.789999999999999999999999,0E-25,404.6174672491567219389000010
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,full,ETHUSDT,-328.592009011000000000000000,372.2578600000000000000000033,500.2279269321905585784,-70.197011517,0,9.360816108157289391420589955,-328.585537160421676660141259,-0.006471850578323339858741,372.257860000000000000000002,3.43E-25,473.6967664041905585784000020
BTC_PROMO_DECISION,conditional,run_d434594cde4077ba6661d7e4,2022-2023,BTCUSDT,1994.988280204000000000000000,-1955.390591155929999999999999,139.0207343773223437219,-15.8400286230,0,3.670799867349442986854679494,1641.316030000000000000000000,353.672250204000000000000000,-1600.469899999999999999999999,-354.9206911559300000000000000,162.7783948023923437219000010
