scenario,strategy,run_id,period,observed_days,valid_days,coverage_complete,opportunity_mean,eligible_fraction,portfolio_cagr,source_run_id,provenance,h3_descriptive
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,full,1704,1704,True,0.0003030842013201510739920328756,0.05186346667970787689097548253,0.016785422410500392,run_8f497f6f609b074f796e043f,observado_en_corrida,contraria
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2022-2023,730,730,True,0.0001407768147931241553653111204,0.02699628995433789954337899542,0.012869987946455379,run_8f497f6f609b074f796e043f,observado_en_corrida,contraria
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2024+,974,974,True,0.0004247314212018036926753048275,0.07050108373260323979009810633,0.0197299082599833,run_8f497f6f609b074f796e043f,observado_en_corrida,contraria
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2022,365,365,True,0,0,0.0,run_8f497f6f609b074f796e043f,observado_en_corrida,contraria
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2023,365,365,True,0.0002815536295862483107306222408,0.05399257990867579908675799085,0.025905612482652666,run_8f497f6f609b074f796e043f,observado_en_corrida,contraria
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2024,366,366,True,0.001130296186476931138431002464,0.1876176381299332119004250152,0.050044681199744964,run_8f497f6f609b074f796e043f,observado_en_corrida,contraria
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2025,365,365,True,0,0,0.0031795864257169178,run_8f497f6f609b074f796e043f,observado_en_corrida,contraria
FUT4_DECISION,conditional,run_8f497f6f609b074f796e043f,2026,243,243,True,0,0,-6.866465720940641e-06,run_8f497f6f609b074f796e043f,observado_en_corrida,contraria
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,full,1704,1704,True,0.0002871869227902217203304184935,0.04703353221178925404277516954,0.014545575926453112,run_70383794701c4f0fc157b2ed,observado_en_corrida,contraria
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2022-2023,730,730,True,0.0001340414867728587208635800106,0.02495148401826484018264840182,0.010813568916779457,run_70383794701c4f0fc157b2ed,observado_en_corrida,contraria
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2024+,974,974,True,0.0004019673830496416275283569873,0.06358373260323979009810631987,0.01735169613561906,run_70383794701c4f0fc157b2ed,observado_en_corrida,contraria
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2022,365,365,True,0,0,0.0,run_70383794701c4f0fc157b2ed,observado_en_corrida,contraria
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2023,365,365,True,0.0002680829735457174417271600212,0.04990296803652968036529680364,0.021744071106276852,run_70383794701c4f0fc157b2ed,observado_en_corrida,contraria
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2024,366,366,True,0.001069716478388937008777649469,0.1692091681845780206435944141,0.046850840682761595,run_70383794701c4f0fc157b2ed,observado_en_corrida,contraria
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2025,365,365,True,0,0,-2.492670255982432e-06,run_70383794701c4f0fc157b2ed,observado_en_corrida,contraria
MARGEN_2X,conditional,run_70383794701c4f0fc157b2ed,2026,243,243,True,0,0,-5.490060011612712e-06,run_70383794701c4f0fc157b2ed,observado_en_corrida,contraria
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,full,1704,1704,True,0.0002871869227902217203304184935,0.04703353221178925404277516954,0.03284029152080845,run_3f5d9cce8ff1c2ba5447e3b6,observado_en_corrida,not_used_for_H3_cagr
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2022-2023,730,730,True,0.0001340414867728587208635800106,0.02495148401826484018264840182,0.030371612394863752,run_3f5d9cce8ff1c2ba5447e3b6,observado_en_corrida,not_used_for_H3_cagr
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2024+,974,974,True,0.0004019673830496416275283569873,0.06358373260323979009810631987,0.03469441055219369,run_3f5d9cce8ff1c2ba5447e3b6,observado_en_corrida,not_used_for_H3_cagr
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2022,365,365,True,0,0,0.010916010799879581,run_3f5d9cce8ff1c2ba5447e3b6,observado_en_corrida,not_used_for_H3_cagr
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2023,365,365,True,0.0002680829735457174417271600212,0.04990296803652968036529680364,0.05020164710731656,run_3f5d9cce8ff1c2ba5447e3b6,observado_en_corrida,not_used_for_H3_cagr
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2024,366,366,True,0.001069716478388937008777649469,0.1692091681845780206435944141,0.059796133581948116,run_3f5d9cce8ff1c2ba5447e3b6,observado_en_corrida,not_used_for_H3_cagr
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2025,365,365,True,0,0,0.027285679418239,run_3f5d9cce8ff1c2ba5447e3b6,observado_en_corrida,not_used_for_H3_cagr
MARGEN_2X,permanent,run_3f5d9cce8ff1c2ba5447e3b6,2026,243,243,True,0,0,0.008835197018972915,run_3f5d9cce8ff1c2ba5447e3b6,observado_en_corrida,not_used_for_H3_cagr
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,full,1704,1704,True,0.0002871869227902217203304184935,0.04703353221178925404277516954,0.03416423962066937,run_edc965655c124abd4318e838,observado_en_corrida,not_used_for_H3_cagr
FUT4_REALIZADA,permanent,run_edc965655c124abd4318e838,2022-2023,730,730,True,0.0001340414867728587208635800106,0.02495148401826484018264840182,0.03066279579648122,run_edc965655c124abd4318e838,observado_en_corrida,not_used_for_H3_cagr
