scenario,strategy,run_id,period,metric,value_before,value_after,unchanged
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,futures_realized_pnl_usdt,-580.8928499999999999999999989,-580.8928499999999999999999989,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,futures_unrealized_pnl_usdt,-660.4182483719799999999999998,-660.4182483719799999999999998,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,reconciliation_residual_usdt,-1E-24,-1E-24,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,capital_deployed_usdt_daily_mean,1051.040075854035127333250440,1051.040075854035127333250440,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,capital_deployed_usdt_daily_max,9667.791514294600000000000000,9667.791514294600000000000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,capital_utilization_daily_mean,0.1042204491765538707102810628,0.1042204491765538707102810628,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,capital_utilization_daily_max,0.95489695136064988465951677277067404821792009153841,0.95489695136064988465951677277067404821792009153841,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,gross_exposure_usdt_daily_mean,1427.100965892637917808219178,1427.100965892637917808219178,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,gross_exposure_usdt_daily_max,13476.0297036588600000,13476.0297036588600000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,collateral_usdt_daily_mean,337.5202026836221136346203025,337.5202026836221136346203025,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,collateral_usdt_daily_max,3023.078550207000000000000000,3023.078550207000000000000000,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,debt_usdt_daily_mean,0E-26,0E-26,True
BASE_E3,conditional,run_ad71d751b20623006c195ff3,2022-2023,debt_usdt_daily_max,0,0,True
