date,strategy,equity_usdt,daily_return,net_pnl_usdt
2024-06-14,permanent,11057.55518646287108232669999,0.000255127486048896979938087,2.82036670350241400000000
2024-06-15,permanent,11059.84061327165522532669999,0.000206684639619258659620234,2.28542680878414300000000
2024-06-16,permanent,11062.29494185473080032669999,0.000221913558151137799073941,2.45432858307557500000000
2024-06-17,permanent,11064.55211744367425332669999,0.000204042253511368550425252,2.25717558894345300000000
2024-06-18,permanent,11065.59233533901636481859999,0.000094013556473033340173587,1.04021789534211149190000
2024-06-19,permanent,11066.78279562797167666239999,0.000107582156732221577192713,1.19046028895531184380000
2024-06-20,permanent,11067.99040928427336884539999,0.000109120570865344028391165,1.20761365630169218300000
2024-06-21,permanent,11069.06063325560917968819999,0.000096695419110416299083871,1.07022397133581084280000
2024-06-22,permanent,11070.40389830108733168819999,0.000121353120195446401480945,1.34326504547815200000000
2024-06-23,permanent,11071.37692754970830502639999,0.000087894647526843954479398,0.97302924862097333820000
2024-06-24,permanent,11072.54184588640639331199999,0.000105218921216505392198844,1.16491833669808828560000
2024-06-25,permanent,11075.28227345467022431199999,0.000247497603206795335636693,2.74042756826383100000000
2024-06-26,permanent,11074.08662296742543731199999,-0.0001079566604013815658528751,-1.19565048724478700000000
2024-06-27,permanent,11077.19697496098958131199999,0.000280867587500475084448512,3.11035199356414400000000
2024-06-28,permanent,11077.91643151652399431199999,0.000064949333045235182402776,0.71945655553441300000000
2024-06-29,permanent,11080.71846110804333431199999,0.000252938321826259973498416,2.80202959151934000000000
2024-06-30,permanent,11083.21946824518575831199999,0.000225708030207666671609280,2.50100713714242400000000
2024-07-01,permanent,11084.73769887410828431199999,0.000136984621956864359151967,1.51823062892252600000000
2024-07-02,permanent,11087.60981557514658531199999,0.000259105517790468398360869,2.87211670103830100000000
2024-07-03,permanent,11088.57845725307449031199999,0.000087362532957032880353533,0.96864167792790500000000
2024-07-04,permanent,11090.48245309801073131199999,0.000171707839041426563822708,1.90399584493624100000000
2024-07-05,permanent,11092.51897837881226352929999,0.000183628195564445449067898,2.03652528080153221730000
2024-07-06,permanent,11092.80868595929378689469999,0.000026117384252054220822088,0.28970758048152336540000
2024-07-07,permanent,11094.02919536226522586869999,0.000110027084891159887075414,1.22050940297143897400000
2024-07-08,permanent,11096.22760759234955880719999,0.000198161749114862125410007,2.19841223008433293850000
2024-07-09,permanent,11098.74161925279837351239999,0.000226564536106726717596234,2.51401166044881470520000
2024-07-10,permanent,11098.48461184023035212089999,-0.0000231564461436055960479396,-0.25700741256802139150000
2024-07-11,permanent,11100.21589863197269350109999,0.000155993079442156218901108,1.73128679174234138020000
2024-07-12,permanent,11101.08905298887458885589999,0.000078661024693177885354235,0.87315435690189535480000
2024-07-13,permanent,11103.63590106980668041349999,0.000229423263679375150557533,2.54684808093209155760000
2024-07-14,permanent,11105.63841423354148213279999,0.000180347516937390277799400,2.00251316373480171930000
2024-07-15,permanent,11105.54679174612553385479999,-0.0000082500873879092188822728,-0.09162248741594827800000
2024-07-16,permanent,11107.38482447024696392189999,0.000165505828626780844325539,1.83803272412143006710000
2024-07-17,permanent,11106.87459317051635029409999,-0.0000459362224136272762197719,-0.51023129973061362780000
2024-07-18,permanent,11108.59640071082287006679999,0.000155021786359705414157805,1.72180754030651977270000
2024-07-19,permanent,11108.46006081966617006679999,-0.0000122733679610482391241203,-0.13633989115670000000000
2024-07-20,permanent,11109.40755544509306453809999,0.000085294867176844416200277,0.94749462542689447130000
2024-07-21,permanent,11109.55241865170629044959999,0.000013039687840259636318524,0.14486320661322591150000
2024-07-22,permanent,11111.36930218604833172029999,0.000163542460206740222666967,1.81688353434204127070000
2024-07-23,permanent,11112.02155679715966333239999,0.000058701550940531441484629,0.65225461111133161210000
