measure,observations,p10,p50,p90,scenario,strategy,symbol,window
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_joint,conditional,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,vwap_joint,conditional,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,vwap_joint,conditional,BTCUSDT,early
basis,1095,-0.0006225179778898787163249973,-0.0004403268986895871494997886,-0.0000735699834467537244804120,vwap_joint,conditional,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_joint,conditional,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,vwap_joint,conditional,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,vwap_joint,conditional,ETHUSDT,early
basis,1095,-0.0005787158505173959585843351,-0.0004297000289713789474405789,-0.0001833420087119064829312805,vwap_joint,permanent,BTCUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_joint,permanent,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,vwap_joint,permanent,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,vwap_joint,permanent,BTCUSDT,early
basis,1095,-0.0006225179778898787163249973,-0.0004403268986895871494997886,-0.0000735699834467537244804120,vwap_joint,permanent,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_joint,permanent,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,vwap_joint,permanent,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,vwap_joint,permanent,ETHUSDT,early
basis,1095,-0.0005787158505173959585843351,-0.0004297000289713789474405789,-0.0001833420087119064829312805,vwap_only,conditional,BTCUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_only,conditional,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,vwap_only,conditional,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,vwap_only,conditional,BTCUSDT,early
basis,1095,-0.0006225179778898787163249973,-0.0004403268986895871494997886,-0.0000735699834467537244804120,vwap_only,conditional,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_only,conditional,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,vwap_only,conditional,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,vwap_only,conditional,ETHUSDT,early
basis,1095,-0.0005787158505173959585843351,-0.0004297000289713789474405789,-0.0001833420087119064829312805,vwap_only,permanent,BTCUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_only,permanent,BTCUSDT,early
forecast,1095,0.0003337832698555285617104442652,0.001142384158692495031733266607,0.002097514317083369110618132989,vwap_only,permanent,BTCUSDT,early
forecast_minus_cost,1095,-0.003066216730144471438289555735,-0.002257615841307504968266733393,-0.001302485682916630889381867011,vwap_only,permanent,BTCUSDT,early
basis,1095,-0.0006225179778898787163249973,-0.0004403268986895871494997886,-0.0000735699834467537244804120,vwap_only,permanent,ETHUSDT,early
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,vwap_only,permanent,ETHUSDT,early
forecast,1095,-0.0005833120275262118017955009300,0.001045494956229247415186791314,0.002063368207843340554672217714,vwap_only,permanent,ETHUSDT,early
forecast_minus_cost,1095,-0.003983312027526211801795500930,-0.002354505043770752584813208686,-0.001336631792156659445327782286,vwap_only,permanent,ETHUSDT,early
basis,1095,-0.0005835122443154374492508992,-0.0004691424772140704521306682,-0.0003462315787588855943119848,alignment_only,conditional,BTCUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,alignment_only,conditional,BTCUSDT,late
forecast,1095,-0.0004524873716677142303805423086,0.0008034865409012943120239034885,0.001503291018131287677318715763,alignment_only,conditional,BTCUSDT,late
forecast_minus_cost,1095,-0.003852487371667714230380542309,-0.002596513459098705687976096512,-0.001896708981868712322681284237,alignment_only,conditional,BTCUSDT,late
basis,1095,-0.0005965570138060337480824953,-0.0004769497659672962091845562,-0.0003584688260145948022020228,alignment_only,conditional,ETHUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,alignment_only,conditional,ETHUSDT,late
forecast,1095,-0.0006636479175684079138533733328,0.0006195113610803637935305593466,0.001307580960888203387278579109,alignment_only,conditional,ETHUSDT,late
forecast_minus_cost,1095,-0.004063647917568407913853373333,-0.002780488638919636206469440653,-0.002092419039111796612721420891,alignment_only,conditional,ETHUSDT,late
basis,1095,-0.0005835122443154374492508992,-0.0004691424772140704521306682,-0.0003462315787588855943119848,alignment_only,permanent,BTCUSDT,late
estimated_cycle_cost,1095,0.0034,0.0034,0.0034,alignment_only,permanent,BTCUSDT,late
forecast,1095,-0.0004524873716677142303805423086,0.0008034865409012943120239034885,0.001503291018131287677318715763,alignment_only,permanent,BTCUSDT,late
forecast_minus_cost,1095,-0.003852487371667714230380542309,-0.002596513459098705687976096512,-0.001896708981868712322681284237,alignment_only,permanent,BTCUSDT,late
