count,diagnostic,scenario,scope,strategy,symbol,window
31,filter_state_active:reject,joint_sizing_only,simultaneous_filter_states,permanent,BTCUSDT,late
1063,ordered_reject:basis_negative,joint_sizing_only,sequential_first_rejection,permanent,BTCUSDT,late
31,ordered_reject:state_active,joint_sizing_only,sequential_first_rejection,permanent,BTCUSDT,late
1094,simultaneous_reject,joint_sizing_only,simultaneous_filter_states,permanent,BTCUSDT,late
1095,filter_basis_negative:reject,joint_sizing_only,simultaneous_filter_states,permanent,ETHUSDT,late
1095,filter_funding:diagnostic_fail_not_applied,joint_sizing_only,theoretical_not_applied,permanent,ETHUSDT,late
1095,ordered_reject:basis_negative,joint_sizing_only,sequential_first_rejection,permanent,ETHUSDT,late
1095,simultaneous_reject,joint_sizing_only,simultaneous_filter_states,permanent,ETHUSDT,late
1,renewal_outcome:HOLDING,joint_sizing_only,renewal_diagnostics,permanent,PORTFOLIO,late
1095,stored_decision:funding_not_above_cost,legacy_reference,legacy_single_decision,conditional,BTCUSDT,late
1095,stored_decision:funding_not_above_cost,legacy_reference,legacy_single_decision,conditional,ETHUSDT,late
2,stored_decision:accepted,legacy_reference,legacy_single_decision,permanent,BTCUSDT,late
1087,stored_decision:basis_outside_entry_range,legacy_reference,legacy_single_decision,permanent,BTCUSDT,late
6,stored_decision:state_or_cooldown,legacy_reference,legacy_single_decision,permanent,BTCUSDT,late
1095,stored_decision:basis_outside_entry_range,legacy_reference,legacy_single_decision,permanent,ETHUSDT,late
1090,filter_basis_negative:reject,vwap_joint,simultaneous_filter_states,conditional,BTCUSDT,late
1095,filter_funding:reject,vwap_joint,simultaneous_filter_states,conditional,BTCUSDT,late
1095,ordered_reject:funding,vwap_joint,sequential_first_rejection,conditional,BTCUSDT,late
1095,simultaneous_reject,vwap_joint,simultaneous_filter_states,conditional,BTCUSDT,late
1095,filter_basis_negative:reject,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,late
1095,filter_funding:reject,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,late
1095,ordered_reject:funding,vwap_joint,sequential_first_rejection,conditional,ETHUSDT,late
1095,simultaneous_reject,vwap_joint,simultaneous_filter_states,conditional,ETHUSDT,late
